#,P:N1,P:N2,净利润,年化收益率%
1*,25,33,21554464.53,117.69
2,24,36,21413294.58,114.50
3,25,32,21275018.40,116.17
4,12,14,21105865.27,129.71
5,24,33,21065435.75,115.02
6,24,37,20969897.63,112.13
7,25,37,20488906.18,114.20
8,25,35,20483437.65,109.53
9,25,36,20363059.98,108.89
10,24,35,20251388.15,108.29
11,24,34,20209972.15,108.07
12,4,42,19842414.95,113.47
13,12,13,19833052.92,121.88
14,23,49,19694538.42,88.58
15,40,41,19616041.70,113.76
16,25,34,19507717.80,104.31
17,27,34,19333515.80,103.38
18,27,33,19267627.27,103.03
19,23,37,19231547.08,102.84
20,48,47,19207538.00,87.59
21,26,33,19145128.98,102.38
22,25,38,19127510.90,106.62
23,23,36,19097890.10,102.12
24,3,40,19023623.50,103.06
25,22,38,18966008.98,101.42
26,50,47,18918100.10,86.27
27,23,50,18808534.57,84.60
28,26,36,18767967.52,104.61
29,4,43,18767001.33,107.32
30,13,15,18733519.08,116.87
31,31,35,18670283.27,98.56
32,27,49,18667116.05,91.48
33,4,41,18663586.17,106.73
34,49,47,18610542.70,84.87
35,28,49,18567114.75,90.99
36,28,44,18544027.98,112.29
37,10,16,18509974.50,113.75
38,21,41,18500614.60,98.93
39,22,49,18484301.93,83.14
40,15,16,18479811.95,108.70
41,27,35,18479323.85,98.82
42,17,38,18471565.23,104.19
43,50,49,18463324.93,84.20
44,37,44,18457851.82,107.04
45,8,42,18419416.55,103.89
46,26,34,18396365.55,98.37
47,13,16,18372807.70,111.25
48,22,36,18370476.60,98.23
49,2,41,18368967.53,99.52
50,29,36,18316746.65,103.31
51,30,49,18312547.30,87.14
52,4,44,18310146.70,104.71
53,47,46,18285952.05,104.57
54,41,43,18256876.13,108.95
55,31,49,18252580.45,84.41
56,21,42,18245038.63,97.56
57,28,45,18232979.08,88.04
58,27,50,18232881.90,89.35
59,24,38,18228917.15,101.61
60,32,28,18215020.70,102.74
61,3,41,18213991.90,104.16
62,42,41,18201197.93,101.27
63,22,37,18187222.57,97.25
64,5,44,18168067.18,101.09
65,28,34,18167743.92,97.15
66,28,42,18158105.58,102.42
67,47,43,18117044.60,103.61
68,9,43,18086023.48,102.01
69,11,14,18049941.62,110.93
70,24,49,18036035.53,81.12
71,29,41,17991394.92,101.48
72,30,36,17989155.80,101.47
73,23,38,17954424.50,96.01
74,20,42,17930378.08,95.88
75,5,43,17927980.17,99.75
76,20,43,17911452.75,95.78
77,46,43,17907003.50,102.40
78,28,36,17895318.70,94.47
79,30,35,17880322.98,94.39
80,10,40,17870162.98,100.79
81,35,49,17845018.10,82.53
82,48,42,17838586.40,102.01
83,30,50,17825626.00,84.83
84,23,39,17824101.07,97.32
85,50,48,17820503.40,81.27
86,11,21,17801386.62,101.80
87,8,44,17799707.93,100.40
88,22,6,17766958.55,103.04
89,31,34,17745900.43,93.68
90,50,46,17721126.53,101.34
91,17,39,17682848.55,99.74
92,37,42,17651331.80,105.33
93,21,43,17636969.75,94.31
94,8,43,17617604.38,99.37
95,37,47,17612377.00,81.45
96,24,50,17609957.70,79.21
97,49,48,17603072.48,80.28
98,22,50,17598690.25,79.16
99,47,41,17594666.07,100.62
100,4,48,17586099.60,78.03
