P:N1,P:N2,净利润,年化收益率%,夏普比率
6,2,3983431.82,345,2.547
29,2,3474246.21,274.45,2.8093
28,2,3456431.22,273.05,2.9489
13,2,3297973.59,268.67,2.2169
26,12,3367200.19,266,2.6626
31,2,3180833.94,259.17,2.6148
29,3,3200613.1,258,2.7025
27,12,3241132.51,256.04,2.573
6,12,3231818,255.3,2.4041
28,12,3229215.5,255.1,2.5782
29,10,3229215.5,255.1,2.5782
29,12,3229215.5,255.1,2.5782
6,13,3028245.51,254,2.2312
32,2,3087366.24,251.56,2.538
30,2,3085070.37,251.37,2.5471
6,11,2975920.34,251.08,2.1684
28,3,3077746.73,248.1,2.6255
40,3,3012246.06,245.09,1.9625
41,3,3012246.06,245.09,1.9625
27,11,3079520.47,243.27,2.4665
28,11,3067533.43,242.33,2.4747
29,11,3067533.43,242.33,2.4747
33,2,2927979.57,238.57,2.4272
10,12,2914710.62,237.49,2.1873
41,4,2959922.24,236.72,1.9008
44,4,2959922.24,236.72,1.9008
44,5,2959922.24,236.72,1.9008
45,3,2887457.71,234.93,1.8839
35,4,2846488.57,231.93,1.8072
35,5,2846488.57,231.93,1.8072
36,4,2846488.57,231.93,1.8072
36,5,2846488.57,231.93,1.8072
35,7,2811915.88,229.11,1.8134
36,7,2811915.88,229.11,1.8134
40,4,2797023.61,228.55,1.809
40,5,2797023.61,228.55,1.809
40,6,2797023.61,228.55,1.809
40,7,2797023.61,228.55,1.809
37,4,2792975.61,228.22,1.7811
37,5,2792975.61,228.22,1.7811
44,3,2802419.13,228.02,1.8214
30,3,2796651.49,227.87,2.0481
37,7,2758402.93,225.4,1.7871
38,3,2758402.93,225.4,1.7871
38,4,2758402.93,225.4,1.7871
38,7,2758402.93,225.4,1.7871
39,3,2758402.93,225.4,1.7871
39,4,2758402.93,225.4,1.7871
39,5,2758402.93,225.4,1.7871
39,7,2758402.93,225.4,1.7871
39,6,2734775.04,223.47,1.7454
35,6,2737551.15,223.05,1.7401
36,6,2737551.15,223.05,1.7401
15,2,2725618.23,222.05,2.055
29,4,2654691.97,220.72,1.6628
30,4,2654691.97,220.72,1.6628
9,12,2722863.31,219.97,2.0757
30,10,2695112.17,219.6,2.0048
30,11,2695112.17,219.6,2.0048
30,12,2695112.17,219.6,2.0048
37,6,2684038.19,219.32,1.7135
38,5,2684038.19,219.32,1.7135
38,6,2684038.19,219.32,1.7135
41,5,2680817.73,219.06,1.7335
41,6,2680817.73,219.06,1.7335
41,7,2680817.73,219.06,1.7335
42,3,2680817.73,219.06,1.7335
42,4,2680817.73,219.06,1.7335
42,5,2680817.73,219.06,1.7335
42,6,2680817.73,219.06,1.7335
42,7,2680817.73,219.06,1.7335
43,3,2680817.73,219.06,1.7335
43,4,2680817.73,219.06,1.7335
43,5,2680817.73,219.06,1.7335
43,6,2680817.73,219.06,1.7335
43,7,2680817.73,219.06,1.7335
34,4,2657990.85,216.57,1.7112
34,5,2657990.85,216.57,1.7112
4,10,2537620.27,214.1,1.7139
34,7,2623418.16,213.75,1.7163
31,10,2611135.12,212.75,1.9463
31,11,2611135.12,212.75,1.9463
31,12,2611135.12,212.75,1.9463
40,10,2595478.97,212.08,1.9203
40,11,2595478.97,212.08,1.9203
40,12,2595478.97,212.08,1.9203
31,3,2597672.58,211.66,1.9392
10,11,2699472.13,210.91,2.098
35,10,2586489.31,210.75,1.9119
35,11,2586489.31,210.75,1.9119
35,12,2586489.31,210.75,1.9119
36,10,2586489.31,210.75,1.9119
36,11,2586489.31,210.75,1.9119
36,12,2586489.31,210.75,1.9119
6,10,2497732.83,210.74,1.7124
37,10,2556858.28,208.93,1.8958
37,11,2556858.28,208.93,1.8958
37,12,2556858.28,208.93,1.8958
38,10,2556858.28,208.93,1.8958
38,11,2556858.28,208.93,1.8958
38,12,2556858.28,208.93,1.8958
39,10,2556858.28,208.93,1.8958
39,11,2556858.28,208.93,1.8958
39,12,2556858.28,208.93,1.8958
32,3,2562698.58,208.81,1.9228
32,10,2562698.58,208.81,1.9228
32,11,2562698.58,208.81,1.9228
32,12,2562698.58,208.81,1.9228
34,6,2549053.42,207.7,1.6431
7,15,2410553.36,203.38,1.9535
41,10,2479273.09,202.59,1.8333
41,11,2479273.09,202.59,1.8333
41,12,2479273.09,202.59,1.8333
42,10,2479273.09,202.59,1.8333
42,11,2479273.09,202.59,1.8333
42,12,2479273.09,202.59,1.8333
43,10,2479273.09,202.59,1.8333
43,11,2479273.09,202.59,1.8333
43,12,2479273.09,202.59,1.8333
27,2,2411083.21,201.05,1.5395
10,2,2322037.89,200.06,1.4279
28,10,2520263.22,199.09,2.0619
29,13,2370584.92,198.83,1.7899
30,13,2370584.92,198.83,1.7899
31,4,2384666.4,198.27,1.5131
9,10,2503477.07,197.77,1.8076
28,4,2366449.05,196.75,1.4981
33,10,2397991.59,195.39,1.806
33,11,2397991.59,195.39,1.806
33,12,2397991.59,195.39,1.806
34,10,2397991.59,195.39,1.806
34,11,2397991.59,195.39,1.806
34,12,2397991.59,195.39,1.806
32,4,2336229.85,194.24,1.4901
7,10,2298290.11,193.91,1.6414
40,13,2297144.46,192.68,1.7233
31,13,2286607.87,191.79,1.729
35,13,2259063.51,189.48,1.6981
36,13,2259063.51,189.48,1.6981
37,13,2259063.51,189.48,1.6981
38,13,2259063.51,189.48,1.6981
39,13,2259063.51,189.48,1.6981
32,13,2238171.33,187.73,1.7038
27,3,2236882.68,186.52,1.4426
44,2,2281000.9,186.39,1.4794
45,2,2281000.9,186.39,1.4794
12,2,2189093.77,185.25,1.4668
5,12,2178940.9,183.84,1.8036
41,13,2182557.77,183.06,1.6358
42,13,2182557.77,183.06,1.6358
43,13,2182557.77,183.06,1.6358
16,2,2225200.04,181.28,1.6763
33,4,2171522.86,180.55,1.3907
6,14,2108776.58,177.92,1.6885
29,7,2213162.77,174.83,1.5272
33,13,2073464.34,173.91,1.5827
34,13,2073464.34,173.91,1.5827
45,4,2122009.91,173.4,1.3774
45,5,2122009.91,173.4,1.3774
45,6,2122009.91,173.4,1.3774
45,7,2122009.91,173.4,1.3774
43,2,2117082.33,172.99,1.4019
10,14,2027031.11,171.53,1.6541
9,11,2119602.74,171.24,1.5353
4,13,2024015.77,170.77,1.6006
46,5,2089089.05,170.71,1.3566
46,6,2089089.05,170.71,1.3566
46,7,2089089.05,170.71,1.3566
47,5,2089089.05,170.71,1.3566
47,6,2089089.05,170.71,1.3566
47,7,2089089.05,170.71,1.3566
44,6,2024050.21,165.39,1.3131
44,7,2024050.21,165.39,1.3131
28,9,2085086.33,164.71,1.4455
29,9,2085086.33,164.71,1.4455
4,17,1904821.38,164.11,1.5994
4,14,1907257.21,160.92,1.5929
19,16,1885153.1,160.48,1.5876
47,2,1981833.07,160.43,1.4038
48,6,1948508.8,159.22,1.275
48,7,1948508.8,159.22,1.275
9,15,1870640.4,158.77,1.5484
4,15,1880157.36,158.63,1.5746
7,12,2002601.12,158.2,1.7264
5,15,1859073.19,156.85,1.6212
