#,P:N1,P:N2,净利润,年化收益率%,夏普比率
1*,3,46,27330084.44,114.18,1.3601
2,3,41,26865045.78,125.35,1.3193
3,20,4,26334204.65,124.45,1.3400
4,3,39,26212144.56,122.30,1.2685
5,3,40,26112104.92,121.83,1.2614
6,3,48,26057429.93,108.87,1.2880
7,3,45,26053986.60,108.85,1.2642
8,3,42,25920759.52,120.94,1.2699
9,3,47,25877720.30,108.12,1.2719
10,2,49,25841442.32,107.97,1.3209
11,20,3,25694097.65,121.42,1.3618
12,4,38,25286777.13,121.05,1.2174
13,19,5,25203632.08,119.11,1.3141
14,3,44,25158248.10,118.59,1.2210
15,2,48,25102009.89,118.93,1.2766
16,4,39,24895132.60,119.18,1.2187
17,4,37,24722689.36,118.35,1.2007
18,3,38,24611785.50,114.83,1.1731
19,3,49,24591666.18,102.74,1.2359
20,3,43,24571198.51,114.64,1.2082
21,2,50,24568332.07,102.65,1.2685
22,2,39,24357855.13,113.65,1.1925
23,2,40,24338266.48,114.72,1.1831
24,4,36,24320916.00,116.43,1.1555
25,2,38,24138844.05,112.63,1.1718
26,22,8,24124062.19,114.00,1.2392
27,20,8,24062485.58,113.71,1.2121
28,33,50,24030635.37,100.40,1.1304
29,23,6,23973068.28,113.29,1.2607
30,4,40,23944459.87,114.63,1.1786
31,4,45,23912286.22,111.57,1.1799
32,5,45,23896989.56,111.50,1.1806
33,20,6,23891723.37,112.91,1.2304
34,2,45,23778025.54,112.08,1.1744
35,20,7,23768441.95,112.32,1.2047
36,21,7,23682378.19,111.92,1.1871
37,21,8,23624541.15,111.64,1.1872
38,5,36,23569595.13,112.83,1.1463
39,3,37,23558059.32,109.92,1.0993
40,3,35,23428030.63,109.31,1.0817
41,19,4,23385736.40,110.52,1.2568
42,32,50,23347608.25,97.55,1.1112
43,4,48,23333418.78,97.49,1.1381
44,23,5,23284008.19,110.03,1.2367
45,5,35,23223781.42,111.18,1.1362
46,37,50,23192999.58,96.90,1.0868
47,3,50,23183041.60,96.86,1.1827
48,34,50,23168729.67,96.80,1.1018
49,4,35,23164955.88,110.90,1.1130
50,34,49,23160395.35,102.84,1.0702
51,22,6,23136095.95,109.34,1.2223
52,31,50,23077614.29,96.42,1.0961
53,35,50,23054506.33,96.32,1.0968
54,2,37,23002026.50,107.32,1.1071
55,5,44,22979791.82,110.01,1.1262
56,4,46,22947328.90,107.07,1.1265
57,5,34,22920417.35,109.73,1.1268
58,2,34,22878621.07,106.75,1.0527
59,23,7,22802339.19,106.93,1.1777
60,5,33,22792912.25,109.12,1.0826
61,20,9,22663881.39,107.10,1.1434
62,22,7,22615275.20,106.87,1.1753
63,3,34,22537081.39,105.15,1.0316
64,2,46,22527371.98,106.19,1.0939
65,20,5,22525094.54,106.45,1.1736
66,39,44,22497112.38,97.54,0.9586
67,3,36,22492619.05,104.95,0.9988
68,2,41,22490700.39,106.01,1.0732
69,21,6,22475063.00,106.21,1.1689
70,22,10,22455491.84,103.98,1.2124
71,33,49,22452845.71,99.70,1.0293
72,5,32,22445496.32,107.45,1.0157
73,32,28,22378869.90,106.58,1.0053
74,2,33,22377128.00,104.41,1.0239
75,4,33,22375938.36,107.12,1.0351
76,5,37,22334974.01,106.92,1.1125
77,6,46,22298106.40,104.04,1.0961
78,33,47,22260376.96,98.84,1.0019
79,41,42,22164099.22,96.10,0.9786
80,6,47,22153888.91,98.37,1.0733
81,37,49,22119199.03,98.22,1.0194
82,36,49,22089539.04,98.09,1.0161
83,13,17,22073731.74,102.99,1.0995
84,20,11,22073574.91,102.21,1.1548
85,4,41,22059548.45,102.92,1.0741
86,4,34,22058931.04,105.60,1.0352
87,35,49,22020714.27,97.78,1.0169
88,2,35,21976655.74,102.54,1.0175
89,5,49,21964591.21,91.77,1.1009
90,4,49,21963943.27,91.77,1.0875
91,6,45,21955510.01,102.44,1.0863
92,4,43,21951186.75,102.42,1.0786
93,7,45,21945158.16,97.44,1.0692
94,38,49,21940344.23,97.42,1.0056
95,4,44,21919074.07,102.27,1.0709
96,7,46,21908479.71,97.28,1.0706
97,36,46,21874757.09,92.44,1.0261
98,6,33,21864813.54,104.13,1.0417
99,4,47,21864691.88,97.09,1.0619
100,38,50,21862137.95,91.34,1.0400
