P:N1,P:N2,净利润,年化收益率%,夏普比率
8,2,7836905.93,269.39,2.0499
17,4,8098354.85,260.5,2.205
9,3,8075208.83,255.63,2.0309
16,5,7847699.3,252.44,2.0578
17,5,7739239.7,248.95,2.0644
4,14,7669572.7,242.79,2.1355
16,4,7476990.75,240.51,1.9578
9,14,7273220.1,237.79,1.9593
8,12,7256684.5,237.25,1.9665
12,18,7223261.2,236.16,1.9259
21,4,7298061.83,234.76,1.7577
14,19,7171985.5,230.7,1.999
10,12,6977662.65,228.13,1.8427
9,13,6934480.15,226.72,1.8526
4,13,7099765.05,224.75,1.9303
9,12,6834939.6,223.46,1.7911
5,11,6391722.53,223.26,1.6366
9,11,6779350.82,221.65,1.7352
18,31,6876225.65,221.19,2.0387
14,17,6842929.65,220.12,1.7794
8,14,6714722.1,219.53,1.7827
18,30,6796892.5,218.64,2.0172
5,14,6765612.3,217.63,1.7748
18,29,6855892.35,217.03,2.0544
17,30,6693803.3,215.32,1.9882
19,30,6645224.65,213.76,1.9767
19,29,6725632.6,212.91,1.9982
17,31,6617154.7,212.85,1.9514
20,28,6612444.15,212.7,1.9742
14,34,6503990.05,212.64,1.9443
6,35,6461036.55,211.24,1.9225
21,5,6565294.92,211.19,1.5851
6,36,6451549.4,210.93,1.9267
17,32,6445881.05,210.74,1.935
11,25,6444160.05,210.69,1.8567
2,36,6545406.85,210.55,1.8976
8,13,6431148.85,210.26,1.7111
15,35,6422997.25,210,1.9207
15,19,6519320.25,209.71,1.802
3,34,6518443.1,209.68,1.9146
15,33,6406743.2,209.46,1.9313
14,20,6505394.55,209.26,1.8212
41,30,6608611.25,209.2,1.9242
19,4,6500215.68,209.09,1.6353
19,28,6603312.35,209.04,1.9532
2,35,6483073.1,208.54,1.8919
15,34,6375369.8,208.44,1.8982
6,34,6362759.8,208.03,1.8947
18,4,6462101.97,207.87,1.6208
3,35,6441953.7,207.22,1.8974
16,24,6431361.55,206.88,1.852
16,17,6429860.38,206.83,1.7327
4,36,6428827.45,206.8,1.8869
5,13,6421410.6,206.56,1.6992
13,18,6205704.1,206.27,1.6149
2,37,6406375.65,206.07,1.8526
16,32,6290705.4,205.67,1.8741
40,31,6496655.3,205.66,1.8954
3,36,6387324.65,205.46,1.8669
13,20,6383362.85,205.33,1.7753
4,30,6477779.85,205.06,1.8378
5,30,6372798.9,204.99,1.8461
21,30,6371353.45,204.95,1.8971
2,34,6367955.38,204.84,1.8413
13,24,6470129.25,204.82,1.8531
20,30,6365531.7,204.76,1.8951
8,37,6258974.3,204.63,1.8741
16,34,6257234.6,204.58,1.8556
16,35,6257234.6,204.58,1.8556
10,28,6243484.4,204.13,1.7854
40,30,6445858.85,204.05,1.8447
4,35,6322925.05,203.39,1.8559
15,20,6322086.25,203.36,1.7617
15,24,6319976.7,203.29,1.8047
41,29,6410741.3,202.94,1.8393
7,42,6609411.85,202.79,2.0314
21,6,6288442.13,202.28,1.5268
4,34,6285414.55,202.18,1.84
4,18,6377278.53,201.88,1.6158
20,31,6272385.15,201.76,1.871
3,37,6249804.4,201.04,1.832
13,23,6347623.15,200.94,1.8357
4,40,6344426.38,200.84,1.9103
18,16,6236676.65,200.62,1.5128
5,37,6232883.25,200.49,1.8455
11,42,6524131.35,200.18,1.9678
12,42,6524131.35,200.18,1.9678
40,29,6217828.6,200.01,1.7747
18,17,6208242.6,199.7,1.502
5,29,6203405.6,199.54,1.7726
7,43,6501417.9,199.48,2.0017
4,19,6299513.23,199.42,1.5996
10,43,6461660.15,198.26,1.9553
11,43,6461660.15,198.26,1.9553
4,28,6258541.65,198.12,1.7665
4,16,6253940.9,197.98,1.6853
13,42,6284251.35,192.82,1.8928
9,42,6255018.6,191.92,1.8819
12,43,6221780.15,190.9,1.8808
13,43,6221780.15,190.9,1.8806
