#,P:N1,P:N2,净利润,年化收益率%,夏普比率
1*,50,15,18635017.40,116.36,0.8737
2,50,14,18286392.90,114.19,0.8563
3,50,18,18231487.46,113.84,0.8574
4,50,16,18168227.50,113.45,0.8509
5,50,20,18084007.60,112.92,0.8480
6,50,17,18083300.65,112.92,0.8479
7,50,19,17893308.32,111.73,0.8401
8,50,21,17665664.57,110.31,0.8291
9,50,25,16751687.34,104.60,0.7929
10,50,22,16671088.39,104.10,0.7857
11,50,24,16628330.25,103.83,0.7870
12,50,26,16518467.84,103.15,0.7798
13,50,23,16467745.05,102.83,0.7811
14,50,28,15803532.00,98.68,0.7366
15,50,27,15651276.37,97.73,0.7364
16,49,15,15022129.66,98.15,0.6583
17,49,16,14574751.34,95.23,0.6412
18,50,29,14135305.20,90.91,0.6354
19,49,17,14076719.49,91.97,0.6195
20,41,4,13996056.44,91.45,0.7342
21,49,18,13724619.79,89.67,0.6059
22,50,8,13057228.53,85.31,0.6398
23,50,13,12990237.60,84.88,0.6278
24,50,12,12961515.65,84.69,0.6224
25,40,41,12932607.61,85.72,0.6089
26,39,6,12895403.53,84.26,0.5197
27,40,4,12879402.18,84.15,0.6247
28,49,20,12869254.99,84.08,0.5695
29,49,21,12865904.04,84.06,0.5696
30,39,5,12528099.30,81.86,0.5158
31,13,3,12515049.14,87.83,0.5003
32,50,30,12490287.49,81.37,0.5504
33,49,26,12422461.38,81.17,0.5560
34,49,19,12404087.29,81.05,0.5422
35,40,5,12206617.33,79.76,0.4851
36,49,25,12139439.36,79.32,0.5456
37,27,28,12123340.97,77.84,0.5375
38,50,31,12098307.09,78.82,0.5414
39,38,5,12092062.55,79.01,0.5083
40,50,9,11988516.44,78.33,0.5755
41,41,43,11975977.74,79.09,0.5645
42,49,22,11968269.01,78.20,0.5317
43,49,24,11949236.03,78.07,0.5354
44,38,6,11944344.69,78.04,0.4718
45,10,21,11892536.42,75.85,0.6217
46,41,42,11813726.24,78.02,0.5664
47,42,44,11782605.07,78.39,0.5441
48,50,32,11736517.65,76.68,0.5174
49,39,42,11645162.03,77.19,0.5594
50,49,27,11600128.74,75.79,0.5130
51,50,7,11597483.43,75.78,0.5244
52,39,40,11545078.50,78.25,0.5246
53,50,38,11515864.79,75.24,0.5016
54,27,29,11510513.71,77.00,0.4783
55,50,11,11448622.61,74.80,0.5493
56,49,23,11446991.86,74.79,0.5119
57,11,20,11407689.31,72.76,0.5986
58,40,43,11125937.07,73.48,0.5197
59,28,29,11113862.39,77.03,0.4613
60,37,7,11056201.17,71.19,0.3961
61,50,35,11040019.49,72.13,0.4773
62,49,28,11016774.90,71.98,0.4798
63,8,28,10991274.20,71.46,0.5438
64,50,10,10912143.43,71.30,0.5173
65,42,45,10857538.19,74.15,0.5163
66,35,44,10835006.75,71.82,0.4967
67,38,4,10810737.13,70.63,0.4817
68,40,42,10731580.98,71.13,0.5049
69,50,39,10719522.54,70.04,0.4693
70,7,30,10654707.24,70.31,0.5249
71,39,44,10618282.34,70.13,0.5037
72,8,25,10609971.79,67.67,0.5508
73,37,6,10608893.58,68.31,0.3754
74,39,41,10608376.68,71.90,0.5017
75,11,21,10589720.92,67.54,0.5621
76,38,42,10558935.60,71.57,0.5057
77,10,13,10549889.59,76.22,0.4465
78,7,28,10513512.40,69.38,0.5067
79,49,14,10468334.11,68.40,0.4598
80,38,41,10408808.89,70.55,0.4868
81,7,29,10363184.65,68.38,0.5049
82,50,37,10358139.76,67.68,0.4413
83,38,40,10318747.06,69.94,0.4541
84,12,19,10216709.25,65.17,0.5033
85,39,12,10154149.71,66.34,0.4541
86,50,36,10152021.16,66.33,0.4293
87,43,45,10113767.34,69.07,0.4743
88,39,13,10042842.29,65.62,0.4498
89,37,42,10038427.90,66.54,0.4690
90,41,45,10021918.45,66.68,0.4752
91,50,34,10009122.00,65.40,0.4216
92,10,28,10006921.31,66.36,0.4662
93,29,30,9991880.95,64.33,0.3817
94,9,25,9979550.59,63.65,0.5115
95,12,17,9963536.52,63.98,0.5042
96,44,46,9942965.86,65.91,0.4767
97,50,33,9935719.94,64.92,0.4199
98,8,5,9929691.44,72.62,0.2974
99,11,19,9915074.27,63.24,0.5120
100,49,29,9914378.40,64.78,0.4190
