P:N1,P:N2,净利润,年化收益率%,夏普比率
1,1,0,0,0
1,2,0,0,0
1,3,0,0,0
1,4,0,0,0
1,5,0,0,0
1,6,0,0,0
1,7,0,0,0
1,8,0,0,0
1,9,0,0,0
1,10,0,0,0
1,11,0,0,0
1,12,0,0,0
1,13,0,0,0
1,14,0,0,0
1,15,0,0,0
1,16,0,0,0
1,17,0,0,0
1,18,0,0,0
1,19,0,0,0
1,20,0,0,0
1,21,0,0,0
1,22,0,0,0
1,23,0,0,0
1,24,0,0,0
1,25,0,0,0
1,26,0,0,0
1,27,0,0,0
1,28,0,0,0
1,29,0,0,0
1,30,0,0,0
1,31,0,0,0
1,32,0,0,0
1,33,0,0,0
1,34,0,0,0
1,35,0,0,0
1,36,0,0,0
1,37,0,0,0
1,38,0,0,0
1,39,0,0,0
1,40,0,0,0
1,41,0,0,0
1,42,0,0,0
1,43,0,0,0
1,44,0,0,0
1,45,0,0,0
1,46,0,0,0
1,47,0,0,0
1,48,0,0,0
1,49,0,0,0
1,50,0,0,0
2,1,0,0,0
2,2,0,0,0
2,3,-3713038.8,-328.82,-1.8304
2,4,-3745813.29,-321.96,-1.8791
2,5,-2531636.71,-215.86,-1.3661
2,6,-1450164.3,-123.65,-0.7936
2,7,580432.89,49.49,0.3852
2,8,-971312.44,-82.82,-0.4707
2,9,-555527.76,-47.37,-0.1866
2,10,193147.54,16.47,0.2219
2,11,325564.34,27.76,0.3111
2,12,-796877,-67.95,-0.3823
2,13,-1616646.33,-137.85,-0.8819
2,14,-1807672.98,-154.13,-1.0145
2,15,-1840547.1,-156.94,-1.0404
2,16,-3787477.39,-325.54,-2.2558
2,17,-1922700.11,-165.26,-1.171
2,18,-1864089.63,-160.22,-1.1571
2,19,-1230739.17,-105.78,-0.7329
2,20,-1882372.33,-161.79,-1.2114
2,21,-2395043.23,-205.86,-1.6008
2,22,-1158578.63,-99.58,-0.7741
2,23,-1489075.05,-127.99,-1.0292
2,24,-1669245.7,-143.47,-1.2101
2,25,-1151596.81,-98.98,-0.8334
2,26,-1014391.6,-87.19,-0.7491
2,27,-1400715.14,-123.88,-1.1106
2,28,-2109203.56,-197.12,-1.8848
2,29,-2148630.14,-201.69,-2.0438
2,30,-1925333.65,-182.58,-2.1476
2,31,-1858818.54,-176.27,-2.2806
2,32,-2337205.55,-219.74,-2.9197
2,33,-1626470.09,-157.82,-2.4855
2,34,-1517091.66,-147.21,-2.4747
2,35,-1417878.96,-137.58,-2.4177
2,36,-1082099.85,-105,-2.2698
2,37,-769902.3,-74.71,-1.845
2,38,-533178.32,-51.29,-1.4906
2,39,11821.05,1.18,0.148
2,40,-4537.13,-0.45,-0.0531
2,41,0,0,0
2,42,0,0,0
2,43,0,0,0
2,44,0,0,0
2,45,0,0,0
2,46,0,0,0
2,47,0,0,0
2,48,0,0,0
2,49,0,0,0
2,50,0,0,0
3,1,0,0,0
3,2,-1146897.81,-98.18,-0.6147
3,3,0,0,0
3,4,-4251066.21,-369.05,-2.0917
3,5,-2454885.67,-206.85,-1.2541
3,6,-183457.69,-15.46,-0.0426
3,7,1959610.88,165.12,1.2574
3,8,-120828.66,-10.26,-0.0127
3,9,-1535708.01,-130.94,-0.8511
3,10,-570960.64,-48.68,-0.2644
3,11,-269595.05,-22.99,-0.0393
3,12,-1087060.02,-92.69,-0.5252
3,13,-1386822.59,-119.2,-0.7316
3,14,-2797199.01,-240.42,-1.5785
3,15,-2562229.53,-220.23,-1.4596
3,16,-3008333.9,-258.57,-1.7343
3,17,-1969369.58,-169.27,-1.1645
3,18,-1718718.44,-147.73,-1.0279
3,19,-1311344.8,-112.71,-0.8133
3,20,-1913853.4,-164.5,-1.251
3,21,-1930093.97,-165.89,-1.2915
3,22,-792165.91,-68.09,-0.5108
3,23,-1122662.34,-96.49,-0.7682
3,24,-1076053.15,-92.12,-0.7402
3,25,-1271764.91,-108.87,-0.9335
3,26,-1073788.85,-91.92,-0.7776
3,27,-1319550.85,-114.34,-0.9945
3,28,-2091476.76,-195.46,-1.8708
3,29,-2488557.78,-239.1,-2.5191
3,30,-2879897.05,-273.1,-3.3314
3,31,-2498269.49,-236.91,-3.1007
3,32,-2371721.5,-222.98,-2.9849
3,33,-1737529.61,-168.6,-2.7916
3,34,-1463651.61,-142.02,-2.4337
3,35,-1369154.66,-132.86,-2.5256
3,36,-937815,-91,-2.0313
3,37,-733221.22,-70.14,-1.7728
3,38,-566795.13,-53.75,-1.5346
3,39,-746138.7,-69.54,-2.0736
3,40,-4537.13,-0.45,-0.0531
3,41,0,0,0
3,42,0,0,0
3,43,0,0,0
3,44,0,0,0
3,45,0,0,0
3,46,0,0,0
3,47,0,0,0
3,48,0,0,0
3,49,0,0,0
3,50,0,0,0
4,1,0,0,0
4,2,-1268220.23,-108.81,-0.5476
4,3,-255383.65,-22.62,-0.0602
4,4,0,0,0
4,5,-1513853.84,-128.57,-0.8065
4,6,-1651213.45,-140.23,-0.7579
4,7,426477.24,36.22,0.3422
4,8,-1322440.55,-112.31,-0.6857
4,9,-915928.16,-77.79,-0.4451
4,10,-1226205.25,-104.14,-0.6102
4,11,-964508.21,-81.91,-0.422
4,12,-1298894.09,-110.75,-0.6543
4,13,-2331168.49,-198.77,-1.2517
4,14,-2437560.57,-207.84,-1.3412
4,15,-2461850.76,-211.6,-1.4016
4,16,-2862577.84,-246.04,-1.6472
4,17,-1682081.26,-144.58,-0.9864
4,18,-1666884.34,-143.27,-0.9804
4,19,-1333596.64,-114.62,-0.783
4,20,-2011134.15,-172.86,-1.2866
4,21,-2017181.12,-173.38,-1.316
4,22,-755316.61,-64.92,-0.4763
4,23,-1054171.54,-90.24,-0.6993
