P:N1,P:N2,净利润,年化收益率%,夏普比率
1,1,0,0,0
1,2,0,0,0
1,3,0,0,0
1,4,0,0,0
1,5,0,0,0
1,6,0,0,0
1,7,0,0,0
1,8,0,0,0
1,9,0,0,0
1,10,0,0,0
1,11,0,0,0
1,12,0,0,0
1,13,0,0,0
1,14,0,0,0
1,15,0,0,0
1,16,0,0,0
1,17,0,0,0
1,18,0,0,0
1,19,0,0,0
1,20,0,0,0
1,21,0,0,0
1,22,0,0,0
1,23,0,0,0
1,24,0,0,0
1,25,0,0,0
1,26,0,0,0
1,27,0,0,0
1,28,0,0,0
1,29,0,0,0
1,30,0,0,0
1,31,0,0,0
1,32,0,0,0
1,33,0,0,0
1,34,0,0,0
1,35,0,0,0
1,36,0,0,0
1,37,0,0,0
1,38,0,0,0
1,39,0,0,0
1,40,0,0,0
1,41,0,0,0
1,42,0,0,0
1,43,0,0,0
1,44,0,0,0
1,45,0,0,0
1,46,0,0,0
1,47,0,0,0
1,48,0,0,0
1,49,0,0,0
1,50,0,0,0
2,1,0,0,0
2,2,0,0,0
2,3,-52715.07,-4.91,-0.1816
2,4,226712.46,20.81,0.135
2,5,-852315.98,-78.24,-0.5365
2,6,-1092307.45,-98.78,-0.6786
2,7,-1762283.25,-159.37,-1.0629
2,8,-314379.98,-26.83,-0.1586
2,9,338146.22,28.85,0.2681
2,10,88923.72,7.56,0.1293
2,11,667955.43,56.78,0.5525
2,12,-254620.14,-21.64,-0.0648
2,13,1469149.66,126.32,0.9891
2,14,1265526.03,108.81,0.8551
2,15,1569422.34,134.94,1.0459
2,16,1964579.86,168.92,1.4103
2,17,1494948.75,128.54,1.1009
2,18,377901.34,32.49,0.2573
2,19,688369.93,59.19,0.5556
2,20,16699.2,1.44,-0.0181
2,21,586046.67,50.39,0.5018
2,22,172584.74,14.84,0.1338
2,23,39082.79,3.36,0.0049
2,24,-90729.15,-7.8,-0.1104
2,25,98531.26,8.47,0.0551
2,26,-173353.41,-14.91,-0.1787
2,27,-484191.13,-41.63,-0.4379
2,28,316663.15,26.92,0.2632
2,29,995837.17,84.65,0.9126
2,30,632034.27,54.55,0.5789
2,31,447026.86,39.34,0.4136
2,32,231053.98,20.74,0.2094
2,33,-125885.32,-11.72,-0.1322
2,34,-422796.63,-40.53,-0.4282
2,35,-672625.43,-64.57,-0.7006
2,36,288255.75,28.25,0.2992
2,37,-579525.63,-55.91,-1.0117
2,38,112486.8,11.24,0.364
2,39,-81071.73,-8.05,-0.3178
2,40,-210959.96,-20.69,-1.9508
2,41,0,0,0
2,42,0,0,0
2,43,0,0,0
2,44,0,0,0
2,45,0,0,0
2,46,0,0,0
2,47,0,0,0
2,48,0,0,0
2,49,0,0,0
2,50,0,0,0
3,1,0,0,0
3,2,-2870540.44,-255.63,-1.6219
3,3,0,0,0
3,4,-1340935.8,-123.09,-0.7749
3,5,-504892.97,-46.35,-0.3459
3,6,-1899149.75,-174.33,-1.1699
3,7,-145669.22,-12.43,-0.0912
3,8,386828.1,32.88,0.2621
3,9,729942.51,62.05,0.5046
3,10,574745.92,48.86,0.4264
3,11,384373.13,32.67,0.3445
3,12,785970.35,66.81,0.6587
3,13,1636061.87,138.55,1.0659
3,14,1236981.81,104.76,0.8856
3,15,1454284.57,125.04,1.0454
3,16,1726940.56,148.48,1.2287
3,17,1173760.9,100.92,0.8548
3,18,-118220.48,-10.16,-0.1408
3,19,60069.9,5.18,0.0282
3,20,-10746.03,-0.93,-0.0332
3,21,139291.07,12.02,0.0836
3,22,-586018.72,-50.58,-0.6047
3,23,-314927.98,-27.18,-0.3625
3,24,-139416.82,-12.03,-0.1916
3,25,333073.79,28.64,0.2974
3,26,47664.25,4.1,0.0225
3,27,-263173.47,-22.63,-0.2779
3,28,439193.58,37.48,0.455
3,29,878396.16,74.67,0.9823
3,30,684733.41,59.1,0.7777
3,31,416952.84,36.83,0.385
3,32,231053.98,20.74,0.2094
3,33,-82257.14,-7.66,-0.0896
3,34,-379798.14,-36.41,-0.3847
3,35,-630166.67,-60.5,-0.6555
3,36,-1118571.06,-107.38,-2.0198
3,37,-746327.87,-72,-1.4272
3,38,45698.07,4.53,0.1472
3,39,-81071.73,-8.05,-0.3178
3,40,0,0,0
3,41,0,0,0
3,42,0,0,0
3,43,0,0,0
3,44,0,0,0
3,45,0,0,0
3,46,0,0,0
3,47,0,0,0
3,48,0,0,0
3,49,0,0,0
3,50,0,0,0
4,1,0,0,0
4,2,-2894117.58,-256.68,-1.6371
4,3,-2905969.79,-265.6,-1.6522
4,4,0,0,0
4,5,1536308.8,143.59,0.9654
4,6,82060.12,7.06,0.0634
4,7,610813.29,51.15,0.3959
4,8,450403.06,37.72,0.2893
4,9,388971.84,33.07,0.3614
4,10,510536.33,43.4,0.4563
4,11,-330986.02,-28.14,-0.1453
4,12,1074274.75,91.32,0.7724
4,13,1078862.58,91.71,0.7795
4,14,1017938.62,87.52,0.7289
4,15,1372977.15,118.05,0.9862
4,16,1616923.63,139.02,1.1469
4,17,735452.8,63.23,0.5487
4,18,-532666.67,-45.8,-0.4451
4,19,-460207.98,-39.72,-0.3899
4,20,-605520.16,-52.26,-0.5172
4,21,-115686.37,-9.98,-0.1526
4,22,-804048.47,-69.4,-0.8129
4,23,-728999.69,-62.92,-0.7743
4,24,-272097.76,-23.48,-0.3347
4,25,41022.73,3.54,0.0102
4,26,114249.04,9.82,0.0921
4,27,-374440.81,-32.19,-0.3875
4,28,140325.58,12.07,0.1325
4,29,1007606.69,84.38,1.1175
4,30,730070.73,63.01,0.8287
4,31,514449.57,45.45,0.606
4,32,328190.89,29.45,0.3926
4,33,-29558,-2.75,-0.037
