P:N1,P:N2,净利润,年化收益率%,夏普比率
37,10,24569101.69,241.84,2.0483
36,11,24326596.36,239.46,2.0238
33,12,24203921.44,238.25,2.0091
38,10,24126338.6,237.48,2.0205
37,11,23906790.03,235.32,1.9981
34,11,23876368.49,235.02,1.9909
37,9,23876225.08,235.02,1.9906
37,8,23836994.3,234.64,1.9902
38,9,23728445.15,233.57,1.9903
38,6,23561513.55,231.92,1.9908
10,11,21979110.78,231.68,1.8666
38,8,23535179.22,231.66,1.9743
39,9,23388165,230.22,1.9632
33,13,23286559.66,229.22,1.9015
38,11,23164534.19,228.02,1.9449
35,10,23138247.8,227.76,1.9274
34,12,23137066.05,227.75,1.9271
35,11,23124298.04,227.62,1.924
38,7,23064514.05,227.03,1.9353
39,10,22765872.84,224.09,1.9079
35,12,22706132.96,223.5,1.8841
8,12,21271998.05,223.35,1.6609
36,10,22566955.7,222.13,1.915
38,5,22509212.23,221.57,1.8714
38,12,22503897.71,221.51,1.8088
36,9,22384538.16,220.34,1.9026
11,17,21886849.81,220.3,1.7918
34,13,22376686.84,220.26,1.8319
34,14,22376686.84,220.26,1.8319
38,13,22195759.22,218.48,1.7511
38,14,22135949.32,217.89,1.7462
33,14,22076005.6,217.3,1.8069
7,12,20662351.2,216.95,1.6083
9,10,20659560.42,216.92,1.597
34,15,22021825.61,216.77,1.8051
17,15,20307908.63,214.91,1.7032
13,12,20426941.34,214.47,1.7143
37,12,21720529.84,213.8,1.7428
37,13,21712864.07,213.73,1.7105
7,13,20334261.7,213.5,1.6142
36,12,21649197.03,213.1,1.7369
36,13,21641531.26,213.03,1.7047
37,14,21630532.92,212.92,1.7042
17,13,20162206.49,212.53,1.6382
12,14,19921938.98,212.51,1.5031
35,13,21495150.67,211.58,1.7581
13,15,20999910.91,211.37,1.6629
11,13,19969721.16,211.33,1.5888
6,15,20039790.56,211.24,1.5799
39,13,21441116.3,211.05,1.6926
9,12,20017314.74,211,1.5826
36,14,21399725.05,210.64,1.6826
7,10,20041492.27,210.43,1.5578
8,11,20000988.28,210,1.568
38,15,21329683.19,209.96,1.6792
35,14,21253344.46,209.2,1.7357
8,13,19802483.36,208.74,1.5443
39,6,21127668.47,207.97,1.7781
39,11,21097673.75,207.67,1.78
39,14,21094005,207.64,1.6676
35,15,21054294.98,207.24,1.7225
34,25,21046665.38,207.17,1.6718
39,8,21025941.28,206.97,1.7546
7,11,19710333.51,206.95,1.5236
37,15,21016913.06,206.88,1.6555
39,7,20859110.51,205.32,1.7414
35,23,20696605.22,203.72,1.6388
13,17,19739125.37,203.27,1.6125
33,26,20640490.54,203.17,1.651
37,16,20571291.44,202.49,1.62
36,15,20553884.5,202.32,1.6185
36,16,20553884.5,202.32,1.6185
35,16,20491952.41,201.71,1.6348
35,25,20454456.29,201.34,1.6226
36,24,20387008.74,200.68,1.596
7,23,20153153.27,200.59,1.6405
39,20,20241206.53,199.24,1.5927
13,14,19773815.75,199.03,1.4888
36,21,20204075.71,198.88,1.5842
12,15,19711314.19,198.4,1.5547
32,25,19931891.77,198.38,1.6061
13,16,19697032.02,198.26,1.5296
35,24,20126287.41,198.11,1.597
36,22,20090514.8,197.76,1.5704
36,17,20074102.2,197.6,1.5806
7,24,19837917.11,197.45,1.6056
33,24,20054700.34,197.41,1.6177
36,23,20051225.33,197.37,1.5647
39,21,20043306.19,197.29,1.5766
10,24,19741691.68,197.22,1.5914
32,26,20025467.85,197.12,1.5942
5,40,19801180.87,197.08,1.5527
38,16,20019427.63,197.06,1.5844
38,22,19806450.03,194.96,1.5552
40,23,19801114.11,194.91,1.56
33,25,19773695.5,194.64,1.5936
34,22,19762917.45,194.53,1.5758
39,19,19708055.34,193.99,1.5495
5,25,19699940.96,193.91,1.6007
33,23,19688183.91,193.8,1.5846
