#,P:N1,P:N2,净利润,年化收益率%,夏普比率
1*,20,17,19412768.13,79.91,0.8663
2,9,12,18928288.50,85.14,0.7873
3,3,5,18603702.95,96.96,0.7730
4,20,18,18238552.00,75.07,0.8108
5,4,9,18168003.13,101.09,0.7880
6,2,6,17974847.65,93.68,0.6910
7,20,12,17939272.07,84.15,0.8128
8,21,19,17915074.40,71.54,0.7980
9,8,15,17682916.90,72.79,0.8094
10,7,16,17642416.75,64.66,0.7905
11,7,14,17528210.65,78.84,0.7663
12,6,8,17467129.08,101.30,0.7787
13,19,17,17360315.95,66.35,0.7914
14,8,12,17177342.38,81.74,0.7171
15,7,15,17169311.08,62.93,0.7802
16,20,13,17148612.70,80.44,0.7850
17,20,15,17071085.00,65.25,0.7651
18,4,6,16706427.25,98.27,0.7059
19,19,3,16666036.32,98.03,1.0252
20,19,15,16641879.15,60.99,0.7573
21,8,11,16500765.27,93.93,0.7375
22,9,10,16479133.23,98.34,0.7545
23,5,17,16393240.42,62.66,0.7618
24,18,16,16386670.42,63.54,0.7483
25,8,16,16364676.38,67.36,0.7705
26,19,16,16336334.32,62.44,0.7603
27,5,16,16327940.25,65.20,0.7340
28,14,12,16295645.95,73.30,0.7452
29,5,9,16221667.52,94.07,0.7637
30,2,16,16165093.02,64.55,0.7236
31,8,9,16143456.07,91.06,0.7686
32,20,19,16097612.88,64.28,0.7419
33,9,11,16080538.38,87.90,0.7541
34,6,9,16050392.22,89.46,0.7591
35,5,2,15908492.55,104.98,0.9368
36,7,10,15767768.55,94.09,0.7242
37,19,13,15670899.42,71.47,0.7079
38,15,12,15660821.62,70.44,0.7238
39,6,11,15651988.97,89.10,0.7264
40,22,20,15611880.88,63.29,0.7031
41,2,17,15611368.92,58.01,0.7142
42,4,5,15556231.63,90.39,0.6174
43,16,15,15553152.00,61.19,0.7134
44,2,19,15519775.85,59.32,0.7369
45,15,14,15361757.47,69.10,0.6895
46,42,14,15351717.63,83.82,0.9253
47,42,6,15336927.00,93.26,0.9545
48,10,15,15223013.70,60.79,0.7006
49,20,3,15185677.68,101.66,0.9533
50,5,14,15149411.30,74.24,0.5941
51,15,6,15056968.58,84.93,0.8655
52,2,14,15056934.75,67.72,0.6281
53,41,15,15035685.45,82.10,0.9038
54,19,14,14944155.18,68.15,0.6795
55,17,15,14922703.12,59.59,0.6730
56,6,17,14906686.25,61.36,0.7059
57,8,17,14867217.80,61.20,0.7148
58,3,18,14849328.32,55.18,0.6940
59,5,15,14815995.15,59.16,0.6130
60,5,12,14752656.35,72.30,0.6487
61,6,7,14736767.35,86.68,0.5693
62,10,16,14728672.42,58.82,0.6781
63,19,18,14699579.50,60.51,0.6855
64,42,15,14672001.05,78.51,0.8743
65,4,18,14592229.85,55.77,0.6778
66,41,11,14584016.88,88.68,0.8882
67,20,48,14556597.83,76.64,0.7182
68,5,6,14550019.60,85.58,0.5928
69,3,8,14538765.77,80.90,0.6224
70,26,30,14521567.48,78.02,0.7183
71,20,14,14500942.47,68.02,0.6568
72,18,15,14483657.78,57.84,0.6695
73,18,14,14453824.82,68.78,0.6567
74,40,10,14419765.10,87.68,0.8811
75,23,22,14409369.40,59.31,0.6610
76,9,16,14397392.07,59.26,0.6810
77,40,14,14329679.03,90.48,0.8418
78,10,11,14322172.00,78.29,0.6633
79,7,13,14314257.75,68.12,0.6472
80,15,11,14300733.47,78.17,0.7240
81,7,9,14275366.00,87.73,0.6730
82,14,10,14274711.62,80.51,0.7218
83,2,5,14269817.45,80.49,0.5105
84,3,19,14192404.35,52.02,0.6798
85,3,9,14189386.85,78.95,0.6095
86,42,11,14188106.60,86.27,0.8534
87,6,13,14181710.32,69.50,0.5654
88,16,13,14157513.98,68.36,0.6772
89,4,19,14134915.90,54.03,0.6909
90,40,13,14044885.95,87.01,0.8359
91,41,14,14018355.65,88.52,0.8411
92,6,12,14016937.35,68.69,0.5654
93,25,29,14006478.13,67.04,0.7106
94,40,12,14006153.55,86.77,0.8337
95,25,30,13986495.93,75.14,0.6822
96,3,6,13932874.35,80.80,0.5683
97,42,10,13898497.98,84.51,0.8376
98,2,18,13893045.90,53.10,0.6295
99,21,47,13864582.55,73.00,0.6741
100,2,15,13819732.22,54.37,0.5954
