#,P:N1,P:N2,净利润,年化收益率%,夏普比率
1*,3,4,24775004.75,191.68,1.4516
2,2,10,23326767.30,177.16,1.2262
3,2,9,23028465.05,179.26,1.1948
4,3,5,21946756.37,169.80,1.1986
5,2,11,21747007.85,134.09,1.1099
6,3,9,21215221.98,164.14,1.1310
7,2,13,21190661.93,126.89,1.0231
8,2,8,21144897.95,164.66,1.1875
9,6,7,20954025.53,161.08,1.2693
10,4,10,20696280.50,127.61,1.1495
11,4,7,20227337.95,155.50,1.1053
12,6,9,19668906.78,121.28,1.1005
13,2,14,19598816.10,117.36,0.9176
14,3,11,19598149.45,120.84,1.0602
15,4,6,19572994.80,152.42,1.0551
16,3,10,19154028.88,145.47,1.1002
17,7,8,19023332.33,145.31,1.2054
18,2,15,18826692.48,110.61,0.8641
19,2,3,18684602.05,142.72,1.2076
20,3,13,18600991.85,114.69,0.9701
21,15,17,18549063.23,85.57,0.8502
22,4,8,18254852.10,140.33,1.0357
23,2,12,18190612.30,112.16,0.9392
24,5,9,18051547.65,111.30,1.0308
25,3,8,18022578.03,139.44,1.0243
26,3,12,17803258.97,109.77,0.9463
27,3,6,17722510.00,137.12,0.9781
28,3,7,17661072.60,136.64,1.0053
29,4,11,17635292.90,106.63,1.0103
30,25,45,17630007.40,93.04,0.6288
31,26,45,17630007.40,93.04,0.6288
32,2,5,17589826.63,136.98,0.9722
33,2,7,17535759.55,136.55,0.9673
34,25,46,17471533.40,92.21,0.6294
35,26,46,17471533.40,92.21,0.6294
36,25,44,17393556.10,93.38,0.6268
37,24,45,17361772.00,93.21,0.6265
38,25,47,17323180.98,91.42,0.6287
39,25,48,17195389.75,90.75,0.6224
40,14,18,17124696.48,79.00,0.8151
41,2,30,16953994.10,81.22,0.6624
42,39,40,16899755.63,102.18,0.7071
43,16,17,16863716.85,77.79,0.8127
44,6,8,16764559.13,127.32,1.1136
45,4,9,16718116.73,126.97,0.9863
46,38,41,16606183.13,100.40,0.6936
47,2,32,16542615.22,79.25,0.6405
48,2,25,16445981.37,73.16,0.7017
49,38,39,16420679.18,99.28,0.6967
50,24,50,16355348.02,86.32,0.5701
51,27,48,16348055.75,90.10,0.6146
52,2,31,16311444.68,78.14,0.6385
53,37,38,16309076.88,96.73,0.6877
54,36,37,16282915.27,95.66,0.6828
55,35,37,16280925.07,95.65,0.6814
56,2,16,16246919.73,95.45,0.7868
57,15,18,16134902.10,76.70,0.8014
58,2,33,16064235.92,76.95,0.6168
59,11,17,16057784.47,76.92,0.7882
60,36,38,16028106.27,95.06,0.6789
61,37,39,15935736.30,96.35,0.6839
62,2,26,15927668.02,70.85,0.6713
63,20,50,15925150.15,87.00,0.5655
64,2,34,15884170.40,73.27,0.6097
65,21,50,15874990.10,85.23,0.5621
66,38,40,15823887.13,95.67,0.6718
67,4,12,15786088.60,95.45,0.9018
68,39,41,15732862.67,101.01,0.6969
69,4,5,15715756.20,122.38,0.9277
70,3,14,15691183.63,96.75,0.8170
71,42,43,15669093.30,93.83,0.6483
72,40,41,15662388.03,100.56,0.6905
73,7,9,15658312.67,121.15,0.9926
74,14,16,15563014.92,74.55,0.7703
75,26,50,15539998.02,85.64,0.5628
76,7,30,15524280.50,73.80,0.6288
77,5,10,15446370.45,95.24,0.9519
78,2,28,15399098.38,68.50,0.6277
79,27,46,15293434.77,92.47,0.6182
80,4,32,15222745.15,70.22,0.6115
81,37,40,15190733.82,91.85,0.6541
82,41,42,15185879.50,97.50,0.6564
83,12,16,15151294.27,72.58,0.7590
84,2,29,15133333.23,72.50,0.6245
85,19,50,15079578.25,86.95,0.5584
86,41,44,15072283.68,91.13,0.6347
87,42,44,15072283.68,91.13,0.6347
88,41,45,15065087.28,91.09,0.6345
89,43,44,15046446.18,90.97,0.6334
90,42,45,15014662.07,90.78,0.6326
91,2,35,14977017.15,69.09,0.5912
92,37,41,14963476.15,96.07,0.6684
93,38,42,14946370.67,95.96,0.6488
94,39,42,14944107.25,95.94,0.6485
95,2,27,14864528.78,66.12,0.6160
96,5,7,14863397.05,114.26,0.9137
97,24,44,14859608.67,79.78,0.5919
98,39,43,14849548.52,94.36,0.6431
99,13,14,14835408.23,88.84,0.8104
100,4,18,14730891.85,81.18,0.8023
