#,P:N1,P:N2,净利润,年化收益率%
1*,17,4,13822235.05,95.01
2,5,39,13782309.92,93.31
3,44,48,13740714.19,89.33
4,4,38,13575349.13,92.47
5,5,38,13550519.95,92.30
6,5,40,13283903.69,89.93
7,4,39,13230606.41,90.12
8,3,39,13122121.35,89.38
9,6,20,13091270.25,89.99
10,16,3,13027220.34,89.85
11,4,37,12983192.01,88.44
12,4,40,12888929.66,87.26
13,43,47,12883072.49,83.25
14,44,47,12745775.40,82.86
15,7,20,12713227.40,86.74
16,43,48,12691586.05,82.51
17,5,37,12664305.62,86.26
18,17,5,12663023.16,87.04
19,4,35,12591629.54,84.37
20,7,19,12587535.94,85.88
21,3,38,12535334.85,85.39
22,4,29,12518656.75,85.27
23,44,46,12503275.40,86.37
24,5,35,12494859.97,85.11
25,5,47,12488738.39,85.67
26,5,41,12487322.81,84.54
27,8,19,12406723.54,84.64
28,43,49,12340149.50,80.22
29,45,47,12328772.41,80.15
30,18,4,12327361.41,84.74
31,4,28,12317779.58,83.90
32,42,49,12316359.33,80.07
33,37,48,12284450.44,80.34
34,43,44,12270561.14,84.35
35,4,41,12233154.15,82.82
36,32,33,12193484.19,83.06
37,4,45,12189356.26,83.03
38,33,35,12178094.26,82.95
39,42,48,12141439.19,78.46
40,4,42,12122284.36,82.07
41,31,33,12089355.54,82.35
42,5,46,12046660.99,82.63
43,44,45,11996131.85,82.87
44,5,43,11988358.30,81.66
45,7,43,11987619.11,81.65
46,29,34,11987413.85,81.65
47,44,40,11980991.74,81.61
48,4,36,11980320.60,81.60
49,5,48,11976658.20,82.15
50,8,37,11937649.37,80.82
51,4,30,11931798.66,81.27
52,45,48,11894248.53,78.26
53,5,36,11871904.41,80.87
54,6,19,11860714.67,81.53
55,4,27,11780888.33,80.25
56,3,42,11779340.35,80.24
57,4,44,11769734.37,80.17
58,3,40,11760292.69,80.11
59,8,42,11735661.49,79.94
60,44,49,11732395.28,77.19
61,4,26,11730608.04,79.90
62,36,48,11711090.64,76.59
63,36,49,11705473.18,76.55
64,7,18,11699516.09,80.42
65,8,40,11697003.41,79.67
66,4,31,11690555.52,79.63
67,8,38,11685356.71,79.60
68,47,44,11668960.21,79.48
69,31,34,11668930.56,79.48
70,47,45,11664479.81,79.45
71,43,40,11659633.56,79.42
72,5,42,11632499.76,79.24
73,4,50,11626652.13,79.75
74,5,34,11618104.68,77.85
75,45,41,11617795.39,79.14
76,5,33,11597245.38,77.71
77,44,42,11585789.18,78.92
78,45,44,11555994.48,78.71
79,47,34,11545845.30,78.65
80,7,38,11533501.00,78.08
81,43,42,11533370.75,78.56
82,6,40,11532820.57,78.56
83,35,49,11527998.20,75.39
84,7,33,11525830.41,78.51
85,7,21,11519946.81,78.59
86,6,21,11508071.45,79.10
87,6,41,11496259.25,78.31
88,5,30,11494484.31,78.30
89,31,32,11457368.61,78.04
90,42,50,11447929.29,74.42
91,4,43,11433888.39,77.88
92,30,34,11414230.45,77.75
93,8,41,11394884.32,77.62
94,44,41,11389013.26,77.58
95,8,18,11387257.21,77.69
96,6,22,11355276.26,77.47
97,39,48,11340006.60,74.16
98,48,46,11325496.60,77.14
99,43,41,11303605.81,77.00
100,35,50,11300491.56,73.90
