P:N1,P:N2,净利润,年化收益率%
1,1,0,0
1,2,0,0
1,3,0,0
1,4,0,0
1,5,0,0
1,6,0,0
1,7,0,0
1,8,0,0
1,9,0,0
1,10,0,0
1,11,0,0
1,12,0,0
1,13,0,0
1,14,0,0
1,15,0,0
1,16,0,0
1,17,0,0
1,18,0,0
1,19,0,0
1,20,0,0
1,21,0,0
1,22,0,0
1,23,0,0
1,24,0,0
1,25,0,0
1,26,0,0
1,27,0,0
1,28,0,0
1,29,0,0
1,30,0,0
1,31,0,0
1,32,0,0
1,33,0,0
1,34,0,0
1,35,0,0
1,36,0,0
1,37,0,0
1,38,0,0
1,39,0,0
1,40,0,0
1,41,0,0
1,42,0,0
1,43,0,0
1,44,0,0
1,45,0,0
1,46,0,0
1,47,0,0
1,48,0,0
1,49,0,0
1,50,0,0
2,1,0,0
2,2,0,0
2,3,-1277535.64,-124.33
2,4,-1249596.26,-123.16
2,5,-1234093.92,-120.1
2,6,-1201201.94,-116.9
2,7,-1189243.17,-115.73
2,8,-1313496.66,-127.83
2,9,-1456374.76,-142.77
2,10,-1379037.99,-135.19
2,11,-1325812.45,-129.97
2,12,-1324266.75,-129.82
2,13,-1144720.61,-112.22
2,14,-1221347.77,-118.86
2,15,-1406222.36,-136.85
2,16,-928699.68,-91.04
2,17,-1057408.73,-103.66
2,18,-975471.11,-95.63
2,19,-1105102.58,-108.34
2,20,-841684.61,-82.51
2,21,-750247.5,-73.01
2,22,-480265.13,-46.74
2,23,-388774.17,-37.83
2,24,-434233.96,-42.57
2,25,-563903.29,-55.73
2,26,-471652.66,-46.61
2,27,-521602.82,-51.55
2,28,-525076.09,-51.89
2,29,-563505.71,-55.69
2,30,-553872.9,-54.74
2,31,-484822.91,-47.92
2,32,-398481.58,-39.38
2,33,-269443.58,-26.72
2,34,-262540.13,-26.04
2,35,-149145.52,-14.79
2,36,-201619.27,-20
2,37,-194622.77,-19.3
2,38,-58619.78,-5.82
2,39,-113425.65,-11.36
2,40,0,0
2,41,0,0
2,42,0,0
2,43,0,0
2,44,0,0
2,45,0,0
2,46,0,0
2,47,0,0
2,48,0,0
2,49,0,0
2,50,0,0
3,1,0,0
3,2,-1411797.46,-138.4
3,3,0,0
3,4,-1691912.41,-166.75
3,5,-1807934.19,-178.19
3,6,-1415021.63,-137.71
3,7,-1156294.16,-112.53
3,8,-946882.65,-92.83
3,9,-728358.95,-71.4
3,10,-643833.99,-63.12
3,11,-600853.88,-58.9
3,12,-447011.11,-43.82
3,13,-476916.16,-46.75
3,14,-595289.11,-57.93
3,15,-593873.88,-58.22
3,16,-428001.79,-41.96
3,17,-430938.18,-42.25
3,18,-545729.33,-53.5
3,19,-437021.38,-42.84
3,20,-368108.6,-36.09
3,21,-484036.7,-47.45
3,22,-665874.38,-65.28
3,23,-623503.44,-61.12
3,24,-524538.79,-51.42
3,25,-661086.55,-65.34
3,26,-460289.22,-45.49
3,27,-660757.06,-65.3
3,28,-664230.33,-65.65
3,29,-683480.08,-67.55
3,30,-553872.9,-54.74
3,31,-484822.91,-47.92
3,32,-408976.33,-40.42
3,33,-269443.58,-26.72
3,34,-269443.58,-26.72
3,35,-149145.52,-14.79
3,36,-201619.27,-20
3,37,-194622.77,-19.3
3,38,-58619.78,-5.82
3,39,-113425.65,-11.36
3,40,0,0
3,41,0,0
3,42,0,0
3,43,0,0
3,44,0,0
3,45,0,0
3,46,0,0
3,47,0,0
3,48,0,0
3,49,0,0
3,50,0,0
4,1,0,0
4,2,-910946.39,-88.65
4,3,-999926.11,-98.03
4,4,0,0
4,5,-1410029.79,-138.23
4,6,-923967.8,-91.07
4,7,-1009015.74,-98.92
4,8,-854888.33,-83.81
4,9,-902009.09,-88.43
4,10,-766810.36,-75.17
4,11,-620037.22,-60.78
4,12,-703975.25,-69.01
4,13,-671196.01,-65.8
4,14,-916119.06,-89.81
4,15,-1351917.8,-132.53
4,16,-1178542.2,-115.54
4,17,-838228.29,-82.17
4,18,-859724.31,-84.28
4,19,-764723.21,-74.97
4,20,-646807.46,-63.41
4,21,-823469.4,-80.73
4,22,-677172.19,-66.39
4,23,-623127.73,-61.09
4,24,-524163.08,-51.39
4,25,-709385.16,-70.09
4,26,-508587.84,-50.25
4,27,-660206.26,-65.23
4,28,-630058.71,-62.25
4,29,-682929.28,-67.47
4,30,-643951.76,-63.62
4,31,-484272.11,-47.85
4,32,-425916.78,-42.08
4,33,-258387.52,-25.65
4,34,-279097.88,-27.71
4,35,-138079.13,-13.71
4,36,-201619.27,-20
4,37,-194622.77,-19.3
4,38,-58619.78,-5.82
4,39,-65573.25,-6.51
4,40,0,0
4,41,0,0
4,42,0,0
4,43,0,0
4,44,0,0
4,45,0,0
4,46,0,0
4,47,0,0
4,48,0,0
4,49,0,0
4,50,0,0
5,1,0,0
5,2,21320.57,2.09
5,3,-708601.78,-68.96
5,4,-931337.01,-91.48
5,5,0,0
5,6,-1048143.8,-102.75
5,7,-896423.54,-87.88
5,8,-989447.78,-97
5,9,-973379.46,-95.42
5,10,-406053.69,-39.81
5,11,-160894.51,-15.54
5,12,-897084.01,-87.94
5,13,-725982.14,-71.17
5,14,-943397.99,-92.48
5,15,-1353630.88,-132.7
5,16,-1173494.02,-115.04
5,17,-1070594.38,-104.95
5,18,-915270.26,-89.73
5,19,-870994.51,-85.39
5,20,-889747.84,-87.22
5,21,-651514.28,-63.87
5,22,-854515.28,-83.77
5,23,-756286.11,-74.14
5,24,-703643.9,-68.98
5,25,-839492.01,-82.94
5,26,-591818.14,-58.47
5,27,-661939.7,-65.4
5,28,-714785.28,-70.62
5,29,-718283.53,-70.97
5,30,-665362.99,-65.74
5,31,-454324.5,-44.89
5,32,-454324.5,-44.89
5,33,-279798.75,-27.75
5,34,-300509.1,-29.8
5,35,-149145.52,-14.79
5,36,-215576.25,-21.38
5,37,-262449.79,-25.84
5,38,-65573.25,-6.51
5,39,-65573.25,-6.51
5,40,0,0
5,41,0,0
5,42,0,0
5,43,0,0
5,44,0,0
5,45,0,0
5,46,0,0
5,47,0,0
5,48,0,0
5,49,0,0
5,50,0,0
6,1,0,0
6,2,-255607.79,-25.06
6,3,-607622.34,-59.57
6,4,-822809.82,-80.66
6,5,-1473873.06,-144.49
6,6,0,0
6,7,-1460417.83,-143.17
6,8,-733630.16,-71.92
6,9,-337886.29,-33.12
6,10,-235400.06,-23.08
6,11,-516298.9,-50.61
6,12,-706364.4,-69.25
6,13,-718045.23,-70.39
6,14,-754980.55,-74.01
6,15,-986013.24,-96.66
6,16,-972445.76,-95.33
6,17,-956475.47,-93.77
6,18,-935621.33,-91.72
6,19,-912055.93,-89.41
6,20,-861760.36,-84.48
6,21,-740324.3,-72.58
6,22,-646822.81,-63.41
6,23,-750444.83,-73.57
6,24,-839864.35,-82.33
6,25,-974363.19,-96.27
6,26,-632936.21,-62.53
6,27,-661884.1,-65.39
6,28,-714729.68,-70.61
6,29,-662655.72,-65.47
6,30,-324711.68,-32.2
6,31,-419650.17,-41.46
6,32,-377671.17,-37.31
6,33,-266141.92,-26.39
6,34,-321369.53,-31.87
6,35,-163102.5,-16.18
6,36,-215576.25,-21.38
6,37,-208579.75,-20.69
6,38,-65573.25,-6.51
6,39,-65573.25,-6.51
6,40,0,0
6,41,0,0
6,42,0,0
6,43,0,0
6,44,0,0
6,45,0,0
6,46,0,0
6,47,0,0
6,48,0,0
6,49,0,0
6,50,0,0
7,1,0,0
7,2,185619.97,18.06
7,3,-968848.06,-94.98
7,4,-444146.71,-43.22
7,5,-901826.57,-87.76
7,6,-818823.97,-79.69
7,7,0,0
7,8,-641664.4,-62.9
7,9,-510389.69,-50.03
7,10,-203334.79,-19.93
7,11,-643108.5,-63.05
7,12,-833262.4,-81.69
7,13,-854169.14,-83.13
7,14,-1097471.35,-107.59
7,15,-1287599.76,-126.23
7,16,-637031.71,-62.45
7,17,-1051776.56,-103.11
7,18,-915875.98,-89.79
7,19,-750651.01,-73.59
7,20,-932154.44,-91.38
7,21,-987900.4,-96.85
7,22,-894398.91,-87.68
7,23,-963664.26,-94.47
7,24,-978878.25,-95.96
7,25,-1113377.09,-109.96
7,26,-771950.11,-76.24
7,27,-661884.1,-65.39
7,28,-714729.68,-70.61
7,29,-732184.9,-72.34
7,30,-394240.85,-39.1
7,31,-487802.19,-48.38
7,32,-516685.08,-51.03
7,33,-363134.83,-36.01
7,34,-428946.2,-42.28
7,35,-287965.4,-28.38
7,36,-312453.15,-30.8
7,37,-305456.65,-30.11
7,38,-113425.65,-11.36
7,39,-113425.65,-11.36
7,40,0,0
7,41,0,0
7,42,0,0
7,43,0,0
7,44,0,0
7,45,0,0
7,46,0,0
7,47,0,0
7,48,0,0
7,49,0,0
7,50,0,0
8,1,0,0
8,2,181804.57,17.69
8,3,-83503.29,-8.13
8,4,-496916.29,-48.36
8,5,-626427.06,-60.96
8,6,-774348.41,-75.36
8,7,-784202.71,-76.32
8,8,0,0
8,9,-634764.16,-62.23
8,10,-397866.69,-39
8,11,-404824.15,-39.69
8,12,-568609.69,-55.74
8,13,-559410.46,-54.44
8,14,-419140.1,-41.09
8,15,-909410.4,-89.15
8,16,-801366.21,-78.56
8,17,-861169.75,-84.42
8,18,-807816.74,-79.19
8,19,-963850.24,-94.49
8,20,-846212.66,-82.96
8,21,-974108.81,-95.49
8,22,-1026484.35,-100.63
8,23,-1081256.95,-106
8,24,-888573.42,-87.11
8,25,-1029786.98,-101.71
8,26,-737217.49,-72.81
8,27,-717278.79,-70.84
8,28,-770124.36,-76.06
8,29,-565310.75,-55.83
8,30,-522534.81,-51.82
8,31,-536427.86,-53.2
8,32,-662187.65,-65.26
8,33,-508637.4,-50.13
8,34,-477571.88,-47.07
8,35,-312453.15,-30.8
8,36,-312453.15,-30.8
8,37,-359676.86,-35.2
8,38,-113425.65,-11.36
8,39,-113425.65,-11.36
8,40,0,0
8,41,0,0
8,42,0,0
8,43,0,0
8,44,0,0
8,45,0,0
8,46,0,0
8,47,0,0
8,48,0,0
8,49,0,0
8,50,0,0
9,1,0,0
9,2,335093.9,32.61
9,3,-623596.44,-60.69
9,4,-755223.82,-73.5
9,5,-900219.28,-87.61
9,6,-792876.97,-77.16
9,7,-650150.93,-63.27
9,8,-897938.15,-87.38
9,9,0,0
9,10,-579964.45,-56.86
9,11,-660498.68,-64.75
9,12,-498492.5,-48.87
9,13,-640682.09,-62.35
9,14,-984762.76,-95.83
9,15,-951758.26,-92.62
9,16,-836785.61,-81.43
9,17,-933494.35,-91.51
9,18,-1006457.55,-98.67
9,19,-950236.49,-93.15
9,20,-827504.26,-80.53
9,21,-996965.61,-97.02
9,22,-896717.7,-87.27
9,23,-920762.6,-89.61
9,24,-950942.22,-93.22
9,25,-1194774.89,-117.59
9,26,-860608.24,-84.7
9,27,-833684.07,-82.05
9,28,-713830.51,-70.5
9,29,-662187.65,-65.26
9,30,-619411.71,-61.05
9,31,-633304.76,-62.42
9,32,-662187.65,-65.26
9,33,-562043.18,-55.39
9,34,-501733.95,-49.45
9,35,-312453.15,-30.8
9,36,-291592.72,-28.74
9,37,-284596.22,-28.05
9,38,-103070.48,-10.39
9,39,-103070.48,-10.39
9,40,0,0
9,41,0,0
9,42,0,0
9,43,0,0
9,44,0,0
9,45,0,0
9,46,0,0
9,47,0,0
9,48,0,0
9,49,0,0
9,50,0,0
10,1,0,0
10,2,434135.72,42.25
10,3,-570266.56,-55.5
10,4,-556081.57,-54.12
10,5,-714137.6,-69.5
10,6,-581774.4,-56.62
10,7,-834995.76,-81.26
10,8,-730088.78,-71.05
10,9,-410581.56,-39.96
10,10,0,0
10,11,-409157.34,-39.82
10,12,-453682.75,-44.15
10,13,-518824.08,-50.49
10,14,-720878.44,-70.15
10,15,-937318.95,-91.22
10,16,-934321.11,-90.93
10,17,-991667.43,-96.51
10,18,-1069004.95,-104.03
10,19,-1109290.49,-107.95
10,20,-999613.61,-97.28
10,21,-1113502.76,-108.36
10,22,-1103559.67,-107.4
10,23,-1169126.88,-113.78
10,24,-1136233.94,-111.39
10,25,-1270251.09,-125.02
10,26,-895340.86,-88.12
10,27,-916817.85,-90.24
10,28,-878611.96,-86.48
10,29,-730092.2,-71.86
10,30,-686916.06,-67.7
10,31,-700809.11,-69.07
10,32,-730092.2,-71.86
10,33,-499653.53,-49.25
10,34,-439194.38,-43.29
10,35,-270603.22,-26.67
10,36,-270603.22,-26.67
10,37,-284596.22,-28.05
10,38,-103070.48,-10.39
10,39,-103070.48,-10.39
10,40,0,0
10,41,0,0
10,42,0,0
10,43,0,0
10,44,0,0
10,45,0,0
10,46,0,0
10,47,0,0
10,48,0,0
10,49,0,0
10,50,0,0
11,1,0,0
11,2,267509.04,26.03
11,3,-730063.97,-71.05
11,4,-768699.86,-74.81
11,5,-830346.71,-80.81
11,6,-758630.59,-73.83
11,7,-932183.82,-90.72
11,8,-1046092.67,-101.8
11,9,-868520.15,-84.52
11,10,-1181167.26,-115.79
11,11,0,0
11,12,-722440.14,-70.82
11,13,-501651.43,-48.82
11,14,-936450.86,-91.13
11,15,-1116519.68,-108.66
11,16,-941249.58,-91.6
11,17,-1107679.01,-107.8
11,18,-1199820.29,-116.76
11,19,-823662.49,-80.16
11,20,-1020453.19,-99.31
11,21,-1252033.46,-121.84
11,22,-1214111.3,-118.15
11,23,-1231227.74,-119.82
11,24,-1136233.94,-111.39
11,25,-1221775.34,-120.25
11,26,-909846.34,-89.55
11,27,-862861.95,-84.75
11,28,-824656.06,-81
11,29,-945375.58,-93.05
11,30,-662607.36,-65.31
11,31,-698737.03,-68.77
11,32,-709231.78,-69.8
11,33,-499653.53,-49.25
11,34,-439194.38,-43.29
11,35,-124801.88,-12.3
11,36,-124801.88,-12.3
11,37,-138794.88,-13.68
11,38,-30805.88,0
11,39,-30805.88,0
11,40,0,0
11,41,0,0
11,42,0,0
11,43,0,0
11,44,0,0
11,45,0,0
11,46,0,0
11,47,0,0
11,48,0,0
11,49,0,0
11,50,0,0
12,1,0,0
12,2,367357.25,35.75
12,3,-565496.99,-55.03
12,4,-695631.43,-67.7
12,5,-834908.73,-81.25
12,6,-661149.18,-64.34
12,7,-740234.91,-72.04
12,8,-806811,-78.52
12,9,-736735.95,-71.7
12,10,-514162.71,-50.4
12,11,-563963,-54.88
12,12,0,0
12,13,-460363.51,-44.8
