#,P:N1,P:N2,净利润,年化收益率%,夏普比率
1*,22,2,23920366.26,187.51,1.6028
2,7,11,21859024.84,167.42,1.3129
3,4,20,21158406.93,163.68,1.2921
4,5,19,20840937.58,164.92,1.2460
5,34,24,20088048.87,160.87,1.2703
6,4,21,20057901.85,155.17,1.2441
7,7,10,19648751.87,150.49,1.2056
8,6,11,19579224.27,154.93,1.1841
9,4,12,19389846.35,150.23,1.1494
10,16,17,19371316.97,151.07,1.1147
11,34,22,19327505.13,154.77,1.2567
12,36,21,19302107.12,154.24,1.2663
13,5,18,19269951.39,152.49,1.1059
14,33,22,19252313.86,153.84,1.2465
15,34,23,19201849.06,153.77,1.2254
16,7,12,19201703.61,147.07,1.1263
17,35,22,19191821.38,153.69,1.2522
18,35,24,19103899.42,152.98,1.2328
19,37,20,19050230.02,152.23,1.2525
20,39,3,18953133.00,135.53,1.2808
21,2,23,18877064.69,149.38,1.1763
22,4,22,18844272.87,145.78,1.1760
23,37,21,18841427.32,150.56,1.2467
24,36,22,18741675.61,150.08,1.2372
25,33,24,18698880.01,149.74,1.2011
26,5,20,18605056.46,147.22,1.1422
27,3,21,18588881.21,143.80,1.1652
28,2,21,18569823.19,145.57,1.1495
29,34,25,18460558.32,147.83,1.1816
30,32,25,18247804.33,146.13,1.1632
31,34,21,18247760.45,145.81,1.1883
32,5,13,18247417.52,143.04,1.0712
33,5,21,18215471.85,143.46,1.1228
34,12,27,18182586.62,148.31,1.0078
35,33,23,18159428.16,145.42,1.1713
36,2,22,18159365.78,143.70,1.1351
37,7,13,18151146.42,139.02,1.1303
38,33,25,18101509.99,144.96,1.1586
39,35,23,18006552.29,144.20,1.1624
40,11,28,17989744.48,146.74,1.0384
41,6,14,17947711.56,140.69,1.0585
42,37,23,17944650.97,143.70,1.1688
43,36,23,17832853.49,142.81,1.1599
44,35,21,17777615.85,142.06,1.1689
45,34,26,17773949.37,142.33,1.1516
46,33,21,17751252.22,141.85,1.1670
47,37,22,17747822.51,141.82,1.1651
48,4,18,17745518.76,140.42,1.0472
49,6,20,17742361.47,140.40,1.0903
50,16,19,17686955.45,141.64,0.9473
51,23,17,17609016.66,138.03,1.1599
52,6,18,17575607.11,139.08,1.0987
53,3,20,17552423.92,138.84,1.0755
54,39,22,17526712.02,140.05,1.1253
55,32,3,17512188.42,126.30,1.2357
56,36,24,17510565.77,140.22,1.1406
57,32,24,17509023.68,140.21,1.1158
58,36,20,17501601.42,139.85,1.1602
59,38,21,17452608.95,139.46,1.1325
60,37,24,17449442.01,139.74,1.1367
61,32,23,17426330.94,139.55,1.1209
62,5,15,17353597.48,136.03,1.0392
63,5,14,17347658.33,135.99,1.0304
64,6,9,17323576.97,136.44,1.0105
65,6,17,17323524.24,135.80,1.0184
66,3,22,17312326.73,133.93,1.0883
67,33,26,17262047.86,138.23,1.1247
68,5,17,17253098.20,135.24,1.0202
69,3,15,17238511.09,135.13,1.0584
70,35,25,17236497.16,138.03,1.1226
71,34,27,17231582.22,137.99,1.1147
72,3,14,17217846.38,134.97,1.0179
73,22,3,17211390.41,134.92,1.1727
74,28,22,17182020.38,135.96,1.1411
75,32,26,17159279.40,137.41,1.1145
76,4,17,17144766.37,134.39,1.0062
77,5,12,17103544.66,134.07,0.9592
78,2,24,17062359.68,135.02,1.0986
79,6,13,17032374.88,133.51,1.0288
80,32,31,17029846.13,136.37,1.1166
81,35,26,17000924.67,136.14,1.1067
82,4,16,16994997.73,133.22,1.0052
83,5,29,16966492.46,132.32,0.9774
84,37,33,16953466.69,135.05,1.1272
85,14,18,16932395.32,132.05,1.0548
86,12,26,16915485.23,137.44,0.9604
87,24,16,16904098.38,132.51,1.1064
88,39,23,16896195.88,135.30,1.0907
89,11,27,16883180.97,138.18,0.9785
90,23,12,16865931.75,132.21,1.1180
91,27,22,16861962.42,132.18,1.1176
92,38,22,16853073.79,134.67,1.0847
93,32,13,16838203.54,133.32,1.0638
94,37,30,16835085.45,134.82,1.1478
95,32,14,16789202.80,132.93,1.0609
96,15,25,16787226.13,132.92,0.9080
97,38,23,16727216.21,133.95,1.0751
98,23,16,16722925.37,131.09,1.0817
99,11,26,16679047.12,135.52,0.9724
100,39,21,16649378.12,133.04,1.0676
