#,P:N1,P:N2,净利润,年化收益率%
1*,39,6,33325591.58,193.12
2,32,33,32248278.82,191.13
3,49,3,31899190.72,184.86
4,31,33,31097342.00,181.96
5,39,17,31075863.13,180.08
6,32,34,31000694.90,181.40
7,49,4,30983194.00,179.55
8,39,19,30737329.03,178.12
9,22,2,30582251.28,174.56
10,44,17,30571757.68,177.16
11,39,5,30416075.35,176.26
12,46,16,30400930.83,176.17
13,46,15,30170103.32,174.84
14,39,14,29988419.60,173.78
15,44,15,29860928.85,173.04
16,39,16,29754970.63,172.43
17,26,27,29664364.93,168.17
18,39,15,29636127.78,171.74
19,50,4,29619747.18,175.55
20,46,17,29548261.68,171.23
21,2,32,29535448.40,171.93
22,39,18,29442355.25,170.62
23,2,31,29426544.65,171.30
24,7,18,29400314.73,175.77
25,39,10,29276053.53,169.65
26,46,45,29274124.02,169.64
27,41,5,29246690.25,169.48
28,7,17,29114355.88,174.06
29,46,18,29055713.18,168.38
30,43,18,28986763.35,167.98
31,39,13,28923236.58,167.61
32,9,45,28913383.50,171.36
33,29,30,28867877.05,167.29
34,44,16,28793034.78,166.85
35,9,46,28732562.08,170.29
36,48,3,28624519.52,165.88
37,31,36,28610855.27,167.41
38,45,16,28580289.43,165.62
39,46,4,28572634.43,165.58
40,8,47,28547493.95,169.19
41,12,15,28545898.72,165.42
42,2,33,28496597.05,165.88
43,50,3,28455439.30,164.90
44,45,17,28441757.55,164.82
45,39,21,28386325.57,164.50
46,2,34,28351744.60,165.04
47,37,19,28328876.35,167.90
48,44,18,28290890.13,163.95
49,28,29,28276724.15,163.86
50,31,34,28273896.63,165.44
51,3,34,28269176.83,163.82
52,31,35,28254629.60,165.33
53,32,16,28245499.53,171.10
54,38,16,28195941.37,163.39
55,45,15,28164389.38,163.21
56,39,20,28123679.63,162.98
57,32,17,28053057.03,169.93
58,37,17,28050815.93,162.55
59,37,20,28039066.12,166.18
60,37,16,28028132.50,162.42
61,30,35,27917884.72,163.36
62,30,36,27890033.50,163.19
63,38,6,27863442.05,161.47
64,37,18,27861530.82,161.46
65,42,20,27850944.15,161.40
66,43,19,27829008.58,161.27
67,21,35,27818393.07,161.21
68,33,16,27816634.08,168.50
69,31,18,27787014.15,168.32
70,40,4,27756904.70,160.85
71,37,22,27752624.30,164.48
72,33,17,27707005.98,167.84
73,2,30,27660264.25,161.02
74,38,15,27599198.22,159.94
75,45,18,27572506.98,159.78
76,2,46,27528326.68,163.15
77,49,7,27524528.63,159.50
78,46,44,27509989.18,159.42
79,34,9,27486284.35,166.50
80,35,37,27484719.20,162.72
81,30,17,27461545.52,166.35
82,9,44,27459023.03,162.74
83,9,25,27438599.00,162.62
84,31,17,27416632.12,166.08
85,33,34,27410162.27,162.45
86,46,40,27384578.35,158.69
87,32,18,27293510.80,165.33
88,39,7,27230247.18,157.80
89,9,47,27201882.90,161.22
90,32,35,27184356.60,159.07
91,37,15,27176071.30,157.48
92,25,33,27175562.53,157.48
93,11,31,27174887.07,153.65
94,11,30,27156651.85,153.55
95,43,20,27149339.38,157.33
96,6,18,27135003.10,162.23
97,8,48,27127565.45,160.78
98,30,29,27093333.85,156.32
99,34,37,27078317.90,158.45
100,44,19,27071983.33,156.88
