P:N1,P:N2,净利润,年化收益率%,夏普比率
37,10,27228865.22,207.35,1.5936
38,10,27126100.95,206.57,1.5975
33,12,26775008,203.9,1.6492
33,26,26731425.11,203.57,1.6976
38,9,26609123.96,202.63,1.5699
36,11,26550192.19,202.19,1.5421
37,11,26361012.16,200.75,1.5406
36,10,25957276.95,197.67,1.5651
13,15,25311744.48,197.1,1.5488
33,24,25782177.75,196.34,1.6302
33,13,25668654.69,195.47,1.5834
32,26,25649953.44,195.33,1.6345
34,11,25609558.62,195.02,1.5405
38,6,25410831.54,193.51,1.4973
33,23,25263244.6,192.39,1.598
38,11,25227590.09,192.11,1.466
37,9,25149734.98,191.52,1.4714
38,12,25146711.5,191.5,1.463
34,22,25104257.1,191.17,1.5688
34,25,25101733.31,191.16,1.5612
32,25,24820459.98,191.12,1.5674
38,8,24993802.55,190.33,1.4721
38,5,24992070.94,190.32,1.4675
36,12,24861318.35,189.32,1.4525
36,13,24861318.35,189.32,1.4525
34,12,24847950.94,189.22,1.4981
38,13,24846238.78,189.21,1.4449
33,25,24840484.63,189.17,1.5901
17,15,23101045.02,189.13,1.4659
38,14,24831646.18,189.1,1.4459
37,12,24758248.91,188.54,1.4459
32,24,24755135.62,188.52,1.5845
12,14,22764727.79,187.86,1.2829
37,8,24604657.92,187.37,1.4382
11,17,24039286.91,187.19,1.3808
33,14,24516418.71,186.7,1.5162
37,13,24424743.4,186,1.4136
39,9,24382796.63,185.68,1.4152
35,11,24277943.64,184.88,1.4351
13,16,23736504.78,184.84,1.4691
2,16,22736005.95,184.68,1.3198
36,14,24210156.25,184.37,1.4
5,36,24189503.79,184.21,1.3941
34,13,24095937.86,183.5,1.4552
34,14,24010972.91,182.85,1.4499
6,25,24002310.15,182.78,1.4736
38,15,23993358.76,182.72,1.3943
31,26,23979567.33,182.61,1.5377
5,25,23975530.63,182.58,1.4414
38,7,23889164.52,181.92,1.4073
34,23,23886891.03,181.9,1.4937
7,26,23566207.79,181.46,1.4138
12,15,23297086.59,181.41,1.3936
35,12,23808227.96,181.31,1.4079
33,22,23715111.67,180.6,1.5454
34,15,23704884.7,180.52,1.4298
5,40,23363042.89,179.9,1.3006
32,27,23354459.02,179.83,1.4777
36,15,23610361.56,179.8,1.3664
35,16,23551019.79,179.35,1.4321
33,20,23535902.66,179.23,1.4809
33,32,23519252.62,179.1,1.4696
35,10,23445330.8,178.54,1.3867
30,27,23147544.83,178.24,1.4699
37,14,23325053.41,177.63,1.311
34,24,23269545.65,177.2,1.4584
32,23,23242100.75,176.99,1.5136
33,21,23158622.32,176.36,1.4763
28,25,23149686.72,176.29,1.4292
36,16,23127979.87,176.13,1.3711
13,14,22541049.29,175.53,1.2685
30,24,23018313.46,175.29,1.4721
5,34,22968973.96,174.91,1.2918
37,15,22960180.76,174.85,1.2897
31,27,22885896.24,174.28,1.4656
30,28,22869160.28,174.15,1.4398
7,23,22544253.99,173.59,1.3548
38,4,22741720.09,173.18,1.337
33,17,22726369.19,173.07,1.4626
34,16,22716208.74,172.99,1.4283
5,35,22703832.51,172.9,1.2694
7,25,22429455.56,172.71,1.3442
30,26,22415498.74,172.6,1.4279
10,24,22330544.14,172.59,1.3172
5,39,22406622.34,172.53,1.2455
4,42,22637393.05,172.39,1.249
35,13,22632327.73,172.35,1.3437
33,27,22382134.87,172.35,1.4147
37,16,22630280.66,172.34,1.3419
5,26,22624355.48,172.29,1.3557
4,40,22607115.98,172.16,1.2471
5,27,22569559.66,171.87,1.3666
32,21,22515186.95,171.46,1.4289
34,17,22412950.22,170.68,1.4103
34,18,22391338.97,170.52,1.4117
33,19,22383936.71,170.46,1.443
39,10,22371241.24,170.36,1.2813
33,15,22369782.48,170.35,1.4084
37,35,22369354.87,170.35,1.2661
35,14,22310509.04,169.9,1.3232
