#,P:N1,P:N2,净利润,年化收益率%,夏普比率
1*,33,12,30494976.23,173.32,1.4161
2,33,13,29388622.92,167.04,1.3692
3,34,11,29198091.57,165.95,1.3349
4,33,14,28345384.09,161.11,1.3281
5,34,12,28202436.82,160.29,1.2873
6,33,23,28109283.08,159.76,1.3048
7,34,22,28060327.44,159.49,1.3074
8,33,24,27752621.41,157.74,1.2645
9,33,26,27695080.55,157.41,1.2482
10,37,10,27634189.26,157.06,1.1965
11,35,11,27632429.52,157.05,1.2431
12,5,40,27622222.65,158.75,1.1851
13,34,13,27559420.90,156.64,1.2639
14,34,14,27333622.04,155.36,1.2516
15,35,12,27162713.85,154.38,1.2230
16,32,24,27149541.46,154.31,1.2628
17,5,36,26988970.35,153.40,1.1586
18,33,20,26936711.86,153.10,1.2679
19,34,15,26935365.08,153.09,1.2304
20,33,22,26914332.80,152.97,1.2986
21,35,16,26862244.27,152.68,1.2371
22,32,26,26834531.15,152.52,1.2157
23,35,10,26799816.68,152.32,1.2077
24,36,11,26753862.13,152.06,1.1452
25,34,25,26683558.02,151.66,1.1901
26,33,17,26618261.40,151.29,1.2914
27,4,42,26613272.35,151.26,1.1299
28,37,11,26508665.12,150.67,1.1387
29,30,24,26497877.23,150.61,1.2572
30,5,25,26378378.13,149.93,1.1409
31,32,25,26278896.81,151.03,1.1892
32,33,19,26275828.92,149.34,1.2771
33,31,26,26231177.81,149.09,1.2187
34,34,17,26173147.03,148.76,1.2501
35,36,10,26160946.89,148.69,1.1421
36,34,18,26151535.78,148.64,1.2509
37,32,23,26142956.27,148.59,1.2488
38,35,13,26095810.76,148.32,1.1842
39,30,27,26062625.89,149.78,1.2213
40,33,21,26060357.42,148.12,1.2276
41,4,41,25995693.09,147.75,1.0915
42,33,15,25966145.40,147.58,1.2344
43,4,40,25924603.27,147.35,1.0838
44,33,25,25897511.00,147.19,1.1704
45,5,39,25878580.00,148.73,1.0904
46,5,34,25868792.65,147.03,1.0943
47,6,25,25840106.50,146.87,1.1322
48,34,23,25834470.28,146.83,1.1720
49,33,11,25671100.61,145.91,1.2616
50,32,22,25665355.34,145.87,1.2137
51,32,21,25663178.51,145.86,1.1992
52,34,16,25661227.64,145.85,1.2114
53,18,19,25634487.27,145.70,1.1300
54,33,10,25629162.04,145.67,1.2592
55,11,20,25608991.10,148.84,1.1275
56,33,16,25604713.99,145.53,1.2157
57,38,11,25594563.27,145.47,1.0940
58,38,12,25589727.15,145.44,1.0939
59,5,41,25581657.33,147.02,1.0877
60,34,21,25579698.84,145.39,1.2058
61,35,14,25540989.43,145.17,1.1543
62,29,24,25536795.72,145.14,1.1583
63,13,15,25495038.32,148.17,1.0904
64,34,19,25282705.16,143.70,1.2113
65,5,35,25281470.42,143.69,1.0551
66,10,24,25270193.13,145.77,1.0918
67,38,13,25242432.85,143.47,1.0767
68,30,23,25195655.27,143.20,1.2090
69,35,15,25194031.36,143.19,1.1347
70,32,9,25183396.32,143.13,1.2489
71,38,14,25174749.25,143.09,1.0739
72,38,10,25165082.66,143.03,1.0503
73,37,9,25161592.35,143.01,1.0737
74,30,26,25153842.22,144.56,1.1714
75,31,27,25092476.40,142.62,1.1634
76,36,12,25064988.29,142.46,1.0780
77,7,26,25047877.53,143.95,1.0714
78,36,13,25033151.54,142.28,1.0770
79,34,24,25027065.83,142.25,1.1326
80,33,5,25014331.50,142.17,1.2853
81,5,42,24991624.02,143.63,1.0450
82,37,12,24919212.09,141.63,1.0706
83,37,13,24895858.74,141.50,1.0653
84,5,37,24887397.61,143.03,1.0692
85,37,8,24872523.97,141.37,1.0657
86,9,26,24796171.83,143.04,1.0555
87,31,24,24747486.29,140.66,1.1694
88,30,28,24700106.63,140.39,1.1242
89,32,27,24651443.16,141.67,1.1137
90,29,25,24630751.59,139.99,1.0991
91,30,25,24590581.91,139.76,1.1683
92,31,23,24588416.83,139.75,1.1723
93,2,31,24545982.65,139.51,1.0365
94,32,10,24545630.24,139.51,1.2175
95,6,27,24542217.16,141.05,1.0481
96,35,23,24510978.04,139.31,1.1032
97,6,38,24499780.75,140.80,1.0434
98,6,43,24475364.74,141.19,1.0344
99,38,9,24474563.55,139.11,1.0113
100,35,17,24414776.73,138.77,1.1379
