#,P:N1,P:N2,净利润,年化收益率%,夏普比率
1*,2,9,25702602.91,147.71,1.0939
2,9,8,25102841.85,144.27,1.2019
3,2,10,24068945.64,138.33,1.0258
4,2,8,23666810.75,136.01,0.9471
5,10,11,22474141.98,136.25,1.1085
6,2,18,22352497.23,135.51,1.0071
7,2,7,21750556.55,125.00,0.8911
8,3,18,21589577.30,130.89,1.0020
9,4,5,20899821.21,120.11,0.9544
10,2,6,20559991.46,118.16,0.7570
11,2,11,20373129.63,117.09,0.8383
12,3,9,20283319.78,120.60,0.8563
13,7,8,20239522.59,116.32,0.8248
14,3,17,20227452.17,122.63,0.9000
15,2,12,19988651.23,118.85,0.8469
16,2,17,19800263.29,117.28,0.8694
17,2,19,19756103.19,119.77,0.8533
18,2,13,19661123.71,116.90,0.8430
19,8,7,19657873.85,111.73,0.9111
20,3,10,19631575.58,116.73,0.8371
21,6,7,19524950.82,110.97,0.8294
22,4,17,19269576.70,116.82,0.8806
23,10,12,18944444.71,114.85,0.8975
24,3,16,18802390.84,111.37,0.8403
25,3,19,18793267.36,113.94,0.8643
26,4,18,18784158.45,113.88,0.8759
27,4,8,18730365.56,111.37,0.8222
28,4,16,18645894.71,113.04,0.8404
29,2,15,18585619.44,110.51,0.7592
30,3,8,18548071.03,110.29,0.7176
31,14,4,18481290.46,96.43,1.0605
32,2,20,18457051.81,110.19,0.8108
33,2,14,18349335.87,109.11,0.7492
34,3,20,18244180.80,108.92,0.8229
35,9,12,18155229.58,110.07,0.8686
36,9,11,18039595.94,106.85,0.8518
37,5,16,17905179.75,108.55,0.7831
38,3,11,17881757.82,106.32,0.7763
39,8,13,17698978.47,107.30,0.8621
40,2,16,17628831.56,104.42,0.7693
41,8,11,17269563.81,102.29,0.8210
42,5,12,17231406.20,102.07,0.7414
43,2,22,17228460.36,104.39,0.7800
44,4,14,17206815.70,101.92,0.7699
45,5,7,17182653.52,102.17,0.6389
46,4,6,17160770.20,102.04,0.7013
47,7,13,17154594.85,104.00,0.8139
48,6,13,17139134.70,103.91,0.7995
49,7,12,16981727.11,102.95,0.7885
50,5,17,16897373.59,102.44,0.7022
51,8,12,16787666.95,101.78,0.7871
52,5,6,16671813.00,99.13,0.6851
53,4,9,16629014.76,98.88,0.7061
54,2,5,16588641.12,95.34,0.5778
55,3,5,16587203.72,98.63,0.6666
56,5,14,16518862.90,100.15,0.7227
57,3,14,16516188.10,98.21,0.6652
58,4,10,16453963.71,97.84,0.6523
59,3,7,16421362.13,97.64,0.6400
60,4,13,16351265.57,96.85,0.6783
61,7,11,16312810.60,96.62,0.7209
62,5,13,16264847.95,96.34,0.7312
63,2,21,16262363.35,97.09,0.7236
64,6,8,16232423.18,94.34,0.5962
65,3,21,16226879.04,97.61,0.7048
66,3,4,16198039.06,96.31,0.6273
67,5,15,16119093.42,97.72,0.6829
68,2,4,16110666.29,97.67,0.5858
69,4,19,16098234.18,95.35,0.7083
70,8,14,15880475.93,96.28,0.7553
71,4,15,15784103.45,93.49,0.6762
72,4,11,15782130.13,93.48,0.6063
73,19,17,15689261.60,94.75,0.7843
74,2,24,15684374.15,95.03,0.7072
75,3,22,15592609.81,93.43,0.6781
76,2,23,15578599.58,94.39,0.6622
77,3,23,15519414.36,92.99,0.6965
78,3,15,15518922.02,91.92,0.6148
79,7,16,15514276.53,91.89,0.6710
80,5,11,15458262.38,91.56,0.6219
81,6,16,15452319.95,91.53,0.6745
82,5,18,15420323.78,91.34,0.6400
83,5,8,15388009.52,91.50,0.5870
84,7,14,15228724.02,92.33,0.7204
85,6,15,15165428.01,91.94,0.6629
86,7,15,15138097.08,91.78,0.6722
87,16,15,15130603.31,92.09,0.7333
88,14,3,14850379.84,77.67,0.8991
89,9,10,14763524.04,87.45,0.7014
90,3,12,14757241.81,87.75,0.5837
91,14,2,14689444.48,75.74,0.9704
92,2,25,14665355.68,88.86,0.6709
93,6,9,14572505.56,86.32,0.5417
94,6,12,14503199.78,85.91,0.6093
95,3,13,14445331.34,85.89,0.5781
96,6,14,14436243.23,87.52,0.6657
97,28,6,14214403.84,79.91,1.2641
98,4,20,14179964.53,83.99,0.6185
99,8,15,14160443.34,83.88,0.6053
100,8,10,14141898.81,84.09,0.6115
