#,P:len1,P:len2,净利润,年化收益率%
1*,16,21,7650888.60,82.87
2,16,22,7650888.60,82.87
3,16,23,7650888.60,82.87
4,16,24,7650888.60,82.87
5,16,25,7650888.60,82.87
6,16,26,7650888.60,82.87
7,13,36,7479565.70,81.02
8,16,1,7473835.40,80.95
9,16,2,7473835.40,80.95
10,16,3,7473835.40,80.95
11,16,4,7473835.40,80.95
12,16,5,7473835.40,80.95
13,16,6,7473835.40,80.95
14,16,7,7473835.40,80.95
15,16,8,7473835.40,80.95
16,16,9,7473835.40,80.95
17,16,10,7473835.40,80.95
18,16,11,7473835.40,80.95
19,16,12,7473835.40,80.95
20,16,13,7473835.40,80.95
21,16,14,7473835.40,80.95
22,16,15,7473835.40,80.95
23,16,16,7473835.40,80.95
24,16,17,7473835.40,80.95
25,16,18,7473835.40,80.95
26,16,19,7473835.40,80.95
27,16,20,7473835.40,80.95
28,14,36,7427039.45,80.45
29,15,36,7351173.72,79.63
30,16,34,7328790.57,79.38
31,16,35,7328790.57,79.38
32,16,36,7328790.57,79.38
33,13,34,7051863.70,76.38
34,13,35,7051863.70,76.38
35,14,34,6999337.45,75.81
36,14,35,6999337.45,75.81
37,16,27,6942883.85,75.20
38,16,28,6942883.85,75.20
39,16,29,6942883.85,75.20
40,16,30,6942883.85,75.20
41,16,31,6942883.85,75.20
42,16,32,6942883.85,75.20
43,16,33,6942883.85,75.20
44,15,34,6923471.72,74.99
45,15,35,6923471.72,74.99
46,13,32,6665956.97,72.20
47,13,33,6665956.97,72.20
48,14,32,6613430.72,71.63
49,14,33,6613430.72,71.63
50,15,32,6537565.00,70.81
51,15,33,6537565.00,70.81
52,15,21,6266228.97,67.87
53,15,22,6266228.97,67.87
54,15,23,6266228.97,67.87
55,15,24,6266228.97,67.87
56,15,25,6266228.97,67.87
57,15,26,6266228.97,67.87
58,14,21,6207348.55,67.24
59,14,22,6207348.55,67.24
60,14,23,6207348.55,67.24
61,14,24,6207348.55,67.24
62,14,25,6207348.55,67.24
63,14,26,6207348.55,67.24
64,15,19,6089175.77,65.96
65,15,20,6089175.77,65.96
66,13,22,6035902.22,65.38
67,13,23,6035902.22,65.38
68,13,24,6035902.22,65.38
69,13,25,6035902.22,65.38
70,13,26,6035902.22,65.38
71,14,19,6030295.35,65.32
72,14,20,6030295.35,65.32
73,17,21,5943423.28,64.38
74,17,22,5943423.28,64.38
75,17,23,5943423.28,64.38
76,17,24,5943423.28,64.38
77,17,25,5943423.28,64.38
78,17,26,5943423.28,64.38
79,17,1,5766370.08,62.46
80,17,2,5766370.08,62.46
81,17,3,5766370.08,62.46
82,17,4,5766370.08,62.46
83,17,5,5766370.08,62.46
84,17,6,5766370.08,62.46
85,17,7,5766370.08,62.46
86,17,8,5766370.08,62.46
87,17,9,5766370.08,62.46
88,17,10,5766370.08,62.46
89,17,11,5766370.08,62.46
90,17,12,5766370.08,62.46
91,17,13,5766370.08,62.46
92,17,14,5766370.08,62.46
93,17,15,5766370.08,62.46
94,17,16,5766370.08,62.46
95,17,17,5766370.08,62.46
96,17,18,5766370.08,62.46
97,17,19,5766370.08,62.46
98,17,20,5766370.08,62.46
99,13,21,5752533.62,62.31
100,13,37,5727440.05,62.04
