#,P:p_param,P:p_dParam,净利润,年化收益率%,夏普比率
1*,1.61,2,6587094.05,45.82,1.0383
2,1.62,2,6587094.05,45.82,1.0383
3,1.63,2,6587094.05,45.82,1.0383
4,1.56,2,6380311.86,44.39,0.9987
5,1.57,2,6380311.86,44.39,0.9987
6,1.58,2,6380311.86,44.39,0.9987
7,1.59,2,6380311.86,44.39,0.9987
8,1.6,2,6380311.86,44.39,0.9987
9,1.72,2,5826666.44,40.53,1.0456
10,1.71,2,5504800.69,38.30,0.9692
11,0.41,9,4508476.10,30.14,0.6181
12,0.43,7,4469145.74,29.88,0.6449
13,1.64,2,4463240.88,31.05,0.6680
14,1.65,2,4463240.88,31.05,0.6680
15,1.66,2,4463240.88,31.05,0.6680
16,1.67,2,4463240.88,31.05,0.6680
17,1.68,2,4463240.88,31.05,0.6680
18,1.69,2,4463240.88,31.05,0.6680
19,1.7,2,4463240.88,31.05,0.6680
20,1.89,1,4221726.20,28.23,0.7337
21,1.97,1,4211633.30,28.16,0.7384
22,1.98,1,4211633.30,28.16,0.7384
23,1.99,1,4211633.30,28.16,0.7384
24,2,1,4211633.30,28.16,0.7384
25,1.92,1,4179490.30,27.94,0.7324
26,1.93,1,4179490.30,27.94,0.7324
27,1.94,1,4179490.30,27.94,0.7324
28,1.95,1,4179490.30,27.94,0.7324
29,1.96,1,4179490.30,27.94,0.7324
30,1.9,1,4123039.93,27.57,0.7237
31,1.55,2,4031339.85,28.23,0.6942
32,2.04,1,4031112.14,26.95,0.6830
33,0.42,9,4008488.15,26.80,0.6075
34,0.43,8,3982722.20,26.63,0.6034
35,0.42,7,3956857.23,26.45,0.5661
36,0.44,7,3948651.84,26.40,0.5863
37,1.88,1,3930003.51,26.28,0.6944
38,1.91,1,3793528.28,25.36,0.6745
39,1.86,1,3793040.91,25.36,0.6755
40,1.87,1,3793040.91,25.36,0.6755
41,0.41,8,3711407.36,24.81,0.5076
42,0.4,7,3660929.46,24.48,0.4674
43,0.45,7,3628143.36,24.26,0.5935
44,0.4,9,3613006.99,24.16,0.4993
45,0.41,7,3543838.91,23.69,0.4812
46,0.42,8,3523038.16,23.55,0.5282
47,0.34,9,3224694.43,21.56,0.2504
48,1.54,2,3222690.47,22.57,0.5435
49,2.01,1,3098700.58,20.72,0.5711
50,2.02,1,3098700.58,20.72,0.5711
51,2.03,1,3098700.58,20.72,0.5711
52,0.45,8,3067212.59,20.51,0.5427
53,0.44,8,2839293.40,18.98,0.4763
54,2.67,1,2721570.55,20.33,0.6000
55,0.33,10,2698765.41,18.04,0.1963
56,0.2,47,2667879.01,18.68,0.3171
57,0.4,8,2639627.75,17.65,0.3684
58,1.39,2,2544666.31,17.01,0.3658
59,2.12,1,2394552.60,16.01,0.4946
60,2.13,1,2394552.60,16.01,0.4946
61,2.66,1,2391877.08,17.86,0.5445
62,0.36,8,2279925.55,15.24,0.1169
63,0.34,8,2254058.36,15.07,0.1038
64,0.35,8,2254058.36,15.07,0.1038
65,1.38,2,2103077.86,14.06,0.2999
66,0.2,50,2066768.50,14.47,0.3948
67,1.75,2,2032256.53,14.23,0.4770
68,0.2,46,2030675.91,14.22,0.2453
69,2.11,1,1977751.46,13.22,0.4334
70,1.85,1,1973555.26,13.19,0.4160
71,1.73,2,1917739.49,13.43,0.4513
72,1.74,2,1917739.49,13.43,0.4513
73,2.64,1,1864379.36,13.92,0.4480
74,2.65,1,1864379.36,13.92,0.4480
75,2.7,1,1737676.10,12.98,0.4475
76,2.71,1,1737676.10,12.98,0.4475
77,2.72,1,1737676.10,12.98,0.4475
78,2.73,1,1737676.10,12.98,0.4475
79,0.2,49,1699011.75,11.90,0.3233
80,1.27,2,1675299.75,11.20,0.2267
81,1.28,2,1675299.75,11.20,0.2267
82,0.2,48,1633947.66,11.44,0.3003
83,1.76,2,1622840.40,11.37,0.4142
84,1.77,2,1622840.40,11.37,0.4142
85,1.78,2,1622840.40,11.37,0.4142
86,2.08,1,1609994.71,10.76,0.3744
87,2.09,1,1609994.71,10.76,0.3744
88,2.1,1,1609994.71,10.76,0.3744
89,0.32,35,1607561.01,13.40,0.5789
90,0.32,36,1607561.01,13.40,0.5789
91,0.32,37,1607561.01,13.40,0.5789
92,2.63,1,1555266.26,11.62,0.3959
93,2.04,2,1506426.55,10.55,0.3904
94,0.45,6,1482569.84,9.91,0.1195
95,0.93,3,1419684.67,9.49,0.1084
96,0.94,3,1419684.67,9.49,0.1084
97,0.95,3,1419684.67,9.49,0.1084
98,1.26,2,1367995.38,9.15,0.1919
99,2.06,1,1356649.57,9.07,0.3393
100,2.07,1,1356649.57,9.07,0.3393
101,1.19,2,1334927.20,8.93,0.1484
102,0.2,42,1309277.39,9.17,-0.0037
103,0.2,45,1262790.01,8.84,0.1040
104,2.62,1,1246745.21,9.31,0.3409
105,0.4,30,1223210.90,10.91,0.6640
106,0.4,31,1223210.90,10.91,0.6640
107,0.4,32,1223210.90,10.91,0.6640
108,0.4,33,1223210.90,10.91,0.6640
109,0.4,34,1223210.90,10.91,0.6640
110,0.4,35,1223210.90,10.91,0.6640
111,0.4,36,1223210.90,10.91,0.6640
112,0.4,37,1223210.90,10.91,0.6640
113,1.36,2,1221801.16,8.17,0.1883
114,1.37,2,1221801.16,8.17,0.1883
115,0.4,27,1203762.45,10.24,0.5847
116,0.4,28,1203762.45,10.24,0.5847
117,0.4,29,1203762.45,10.24,0.5847
118,0.41,27,1203762.45,10.24,0.5847
119,0.41,28,1203762.45,10.24,0.5847
120,0.41,29,1203762.45,10.24,0.5847
121,0.42,27,1203762.45,10.24,0.5847
122,0.42,28,1203762.45,10.24,0.5847
123,0.42,29,1203762.45,10.24,0.5847
124,0.37,10,1195073.83,8.37,0.1609
125,2.68,1,1191984.10,8.90,0.3662
126,2.69,1,1191984.10,8.90,0.3662
127,2.05,1,1146901.26,7.67,0.3041
128,1.89,2,1091531.59,7.64,0.3142
129,1.9,2,1091531.59,7.64,0.3142
130,1.91,2,1091531.59,7.64,0.3142
131,1.92,2,1091531.59,7.64,0.3142
132,1.93,2,1091531.59,7.64,0.3142
133,1.94,2,1091531.59,7.64,0.3142
134,1.95,2,1091531.59,7.64,0.3142
135,1.96,2,1091531.59,7.64,0.3142
136,1.97,2,1091531.59,7.64,0.3142
137,1.98,2,1091531.59,7.64,0.3142
138,1.99,2,1091531.59,7.64,0.3142
139,2,2,1091531.59,7.64,0.3142
140,2.01,2,1091531.59,7.64,0.3142
141,2.02,2,1091531.59,7.64,0.3142
142,2.03,2,1091531.59,7.64,0.3142
143,0.32,11,1057901.34,7.07,-0.0289
144,0.2,41,1000164.29,7.00,-0.0505
145,0.91,3,953309.99,6.37,0.0302
146,0.92,3,953309.99,6.37,0.0302
147,0.3,11,939154.21,6.28,-0.0115
148,0.35,10,934106.14,6.25,0.2244
149,1.23,2,901620.69,6.03,0.1147
150,1.24,2,901620.69,6.03,0.1147
151,1.25,2,901620.69,6.03,0.1147
152,0.47,22,894649.35,7.61,0.4174
153,0.48,22,894649.35,7.61,0.4174
154,0.49,22,894649.35,7.61,0.4174
155,1.51,2,885160.95,6.20,0.1076
156,1.52,2,885160.95,6.20,0.1076
157,1.53,2,885160.95,6.20,0.1076
158,2.59,1,856856.85,6.40,0.2787
159,2.6,1,856856.85,6.40,0.2787
160,2.61,1,856856.85,6.40,0.2787
161,1.17,2,832975.30,5.57,0.0951
162,1.18,2,832975.30,5.57,0.0951
163,0.32,34,814575.25,6.79,0.3575
164,0.2,44,735292.30,5.15,0.0085
165,0.37,9,733016.16,4.90,0.1867
166,0.31,46,691976.45,5.96,0.3507
167,0.31,47,691976.45,5.96,0.3507
168,0.31,48,691976.45,5.96,0.3507
169,0.31,49,691976.45,5.96,0.3507
170,0.31,50,691976.45,5.96,0.3507
171,0.32,46,691976.45,5.96,0.3507
172,0.32,47,691976.45,5.96,0.3507
173,0.32,48,691976.45,5.96,0.3507
174,0.32,49,691976.45,5.96,0.3507
175,0.32,50,691976.45,5.96,0.3507
176,0.26,45,622928.43,4.65,0.2433
177,0.51,9,608841.52,4.26,0.0952
178,0.34,10,584641.86,3.91,0.1791
179,2.54,1,561398.55,4.19,0.2272
180,2.55,1,561398.55,4.19,0.2272
181,2.56,1,561398.55,4.19,0.2272
182,2.57,1,561398.55,4.19,0.2272
183,2.58,1,561398.55,4.19,0.2272
184,0.56,9,553077.34,3.97,-0.0178
185,0.36,9,550693.21,3.68,0.1665
186,2.16,2,517914.11,3.63,0.1710
187,1.2,2,515784.34,3.45,0.0631
188,1.21,2,515784.34,3.45,0.0631
189,1.22,2,515784.34,3.45,0.0631
190,0.38,31,514882.94,4.29,0.1963
191,0.38,32,514882.94,4.29,0.1963
192,0.38,33,514882.94,4.29,0.1963
193,0.38,34,514882.94,4.29,0.1963
194,0.38,35,514882.94,4.29,0.1963
195,0.38,36,514882.94,4.29,0.1963
196,0.38,37,514882.94,4.29,0.1963
197,0.39,31,514882.94,4.29,0.1963
198,0.39,32,514882.94,4.29,0.1963
199,0.39,33,514882.94,4.29,0.1963
200,0.39,34,514882.94,4.29,0.1963
201,0.39,35,514882.94,4.29,0.1963
202,0.39,36,514882.94,4.29,0.1963
203,0.39,37,514882.94,4.29,0.1963
204,0.44,6,508134.20,3.40,0.0025
205,0.97,3,506148.29,3.38,0.0226
206,0.98,3,506148.29,3.38,0.0226
207,0.38,30,495434.49,4.13,0.1661
208,0.39,27,495434.49,4.13,0.1661
209,0.39,28,495434.49,4.13,0.1661
210,0.39,29,495434.49,4.13,0.1661
211,0.39,30,495434.49,4.13,0.1661
212,1.16,2,487568.63,3.26,0.0509
213,0.52,9,476905.39,3.34,0.0764
214,0.39,9,474411.97,3.17,0.1118
215,0.26,44,472020.31,3.53,0.2027
216,0.4,25,463816.95,3.87,0.1497
217,0.4,26,463816.95,3.87,0.1497
218,0.41,25,463816.95,3.87,0.1497
219,0.41,26,463816.95,3.87,0.1497
220,0.42,25,463816.95,3.87,0.1497
221,0.42,26,463816.95,3.87,0.1497
222,1.88,2,431131.96,3.02,0.1778
223,0.38,10,421500.40,2.95,0.0401
224,0.3,49,389250.40,3.35,0.2603
225,0.3,50,389250.40,3.35,0.2603
226,1.35,2,340651.39,2.28,0.0752
227,0.2,43,338745.62,2.37,-0.0322
228,0.38,8,296418.01,1.98,0.1283
229,2.53,1,277941.75,2.08,0.1810
230,0.2,34,257217.05,1.80,-0.1346
231,0.25,45,237238.58,1.77,0.1662
232,1.34,2,233699.19,1.56,0.0454
233,0.44,21,186321.39,1.55,0.0382
234,0.44,22,186321.39,1.55,0.0382
235,0.45,21,186321.39,1.55,0.0382
236,0.45,22,186321.39,1.55,0.0382
237,0.46,21,186321.39,1.55,0.0382
238,0.46,22,186321.39,1.55,0.0382
239,0.47,21,186321.39,1.55,0.0382
240,0.48,21,186321.39,1.55,0.0382
241,0.49,20,186321.39,1.55,0.0382
242,0.49,21,186321.39,1.55,0.0382
243,0.5,20,186321.39,1.55,0.0382
244,0.51,19,186321.39,1.55,0.0382
245,0.51,20,186321.39,1.55,0.0382
246,0.52,19,186321.39,1.55,0.0382
247,0.52,20,186321.39,1.55,0.0382
248,0.33,8,176444.18,1.18,-0.1289
249,2.14,2,173302.61,1.21,0.0801
250,2.15,2,173302.61,1.21,0.0801
251,0.9,3,156193.56,1.04,-0.0683
252,0.42,24,154703.85,1.29,0.0224
253,0.43,23,154703.85,1.29,0.0224
254,1.87,2,135673.66,0.95,0.1132
255,0.35,9,104139.62,0.70,0.1329
256,0.26,43,75473.64,0.56,0.1574
257,1.45,2,72240.39,0.51,-0.0202
258,1.46,2,72240.39,0.51,-0.0202
259,1.47,2,72240.39,0.51,-0.0202
260,1.48,2,72240.39,0.51,-0.0202
261,1.49,2,72240.39,0.51,-0.0202
262,1.5,2,72240.39,0.51,-0.0202
263,0.22,46,54766.97,0.41,0.1530
264,0.38,27,50533.21,0.42,-0.0192
265,0.38,28,50533.21,0.42,-0.0192
266,0.38,29,50533.21,0.42,-0.0192
267,0.33,9,47913.82,0.32,-0.1127
268,2.25,2,47469.70,0.40,0.0049
269,0.43,45,0.00,0.00,0.0000
270,0.43,46,0.00,0.00,0.0000
271,0.43,47,0.00,0.00,0.0000
272,0.43,48,0.00,0.00,0.0000
273,0.43,49,0.00,0.00,0.0000
274,0.43,50,0.00,0.00,0.0000
275,0.44,45,0.00,0.00,0.0000
276,0.44,46,0.00,0.00,0.0000
277,0.44,47,0.00,0.00,0.0000
278,0.44,48,0.00,0.00,0.0000
279,0.44,49,0.00,0.00,0.0000
280,0.44,50,0.00,0.00,0.0000
281,0.45,45,0.00,0.00,0.0000
282,0.45,46,0.00,0.00,0.0000
283,0.45,47,0.00,0.00,0.0000
284,0.45,48,0.00,0.00,0.0000
285,0.45,49,0.00,0.00,0.0000
286,0.45,50,0.00,0.00,0.0000
287,0.46,45,0.00,0.00,0.0000
288,0.46,46,0.00,0.00,0.0000
289,0.46,47,0.00,0.00,0.0000
290,0.46,48,0.00,0.00,0.0000
291,0.46,49,0.00,0.00,0.0000
292,0.46,50,0.00,0.00,0.0000
293,0.47,45,0.00,0.00,0.0000
294,0.47,46,0.00,0.00,0.0000
295,0.47,47,0.00,0.00,0.0000
296,0.47,48,0.00,0.00,0.0000
297,0.47,49,0.00,0.00,0.0000
298,0.47,50,0.00,0.00,0.0000
299,0.48,45,0.00,0.00,0.0000
