P:m,P:l,净利润,年化收益率%
1,1,0,0
1,2,440135.33,44.82
1,3,427076.93,43.49
1,4,232550.98,23.68
1,5,519738.95,52.93
1,6,519738.95,52.93
1,7,519738.95,52.93
1,8,519738.95,52.93
1,9,519738.95,52.93
1,10,696156.95,70.9
1,11,452745.73,46.11
1,12,452745.73,46.11
1,13,567668.06,57.81
1,14,567668.06,57.81
1,15,567668.06,57.81
1,16,567668.06,57.81
1,17,373142.12,38
1,18,373142.12,38
1,19,176418,18.76
1,20,176418,18.76
1,21,176418,18.76
1,22,176418,18.76
1,23,176418,18.76
1,24,176418,18.76
1,25,176418,18.76
1,26,176418,18.76
1,27,176418,18.76
1,28,176418,18.76
1,29,176418,18.76
1,30,176418,18.76
1,31,176418,18.76
1,32,176418,18.76
1,33,176418,18.76
1,34,0,0
1,35,0,0
1,36,0,0
1,37,0,0
1,38,0,0
1,39,0,0
1,40,0,0
1,41,0,0
1,42,0,0
1,43,0,0
1,44,0,0
1,45,0,0
1,46,0,0
1,47,0,0
1,48,0,0
1,49,0,0
1,50,0,0
2,1,-515642.24,-53.41
2,2,0,0
2,3,14341.33,1.45
2,4,237861.55,23.85
2,5,237861.55,23.85
2,6,71133.13,7.17
2,7,71133.13,7.17
2,8,71133.13,7.17
2,9,-205547.17,-20.72
2,10,-205547.17,-20.72
2,11,-205547.17,-20.72
2,12,-205547.17,-20.72
2,13,-205547.17,-20.72
2,14,-205547.17,-20.72
2,15,-205547.17,-20.72
2,16,-205547.17,-20.72
2,17,-424291.42,-46.04
2,18,-424291.42,-46.04
2,19,-424291.42,-46.04
2,20,0,0
2,21,0,0
2,22,0,0
2,23,0,0
2,24,0,0
2,25,0,0
2,26,0,0
2,27,0,0
2,28,0,0
2,29,0,0
2,30,0,0
2,31,0,0
2,32,0,0
2,33,0,0
2,34,0,0
2,35,0,0
2,36,0,0
2,37,0,0
2,38,0,0
2,39,0,0
2,40,0,0
2,41,0,0
2,42,0,0
2,43,0,0
2,44,0,0
2,45,0,0
2,46,0,0
2,47,0,0
2,48,0,0
2,49,0,0
2,50,0,0
3,1,-37358.1,-3.79
3,2,-37358.1,-3.79
3,3,0,0
3,4,505581.09,50.18
3,5,830002.21,82.38
3,6,867360.3,86.09
3,7,867360.3,86.09
3,8,585461.54,58.11
3,9,585461.54,58.11
3,10,554339.13,55.02
3,11,554339.13,55.02
3,12,554339.13,55.02
3,13,293298.71,29.68
3,14,293298.71,29.68
3,15,293298.71,29.68
3,16,293298.71,29.68
3,17,0,0
3,18,0,0
3,19,0,0
3,20,0,0
3,21,0,0
3,22,0,0
3,23,0,0
3,24,0,0
3,25,0,0
3,26,0,0
3,27,0,0
3,28,0,0
3,29,0,0
3,30,0,0
3,31,0,0
3,32,0,0
3,33,0,0
3,34,0,0
3,35,0,0
3,36,0,0
3,37,0,0
3,38,0,0
3,39,0,0
3,40,0,0
3,41,0,0
3,42,0,0
3,43,0,0
3,44,0,0
3,45,0,0
3,46,0,0
3,47,0,0
3,48,0,0
3,49,0,0
3,50,0,0
4,1,-167562.51,-16.89
4,2,-184955.89,-19.5
4,3,-124195.33,-12.68
4,4,0,0
4,5,979707.89,96.99
4,6,692129.91,68.52
4,7,-39960.55,-3.96
4,8,-39960.55,-3.96
4,9,-39960.55,-3.96
4,10,-39960.55,-3.96
4,11,122845.73,12.16
4,12,122845.73,12.16
4,13,-107378.32,-10.96
4,14,-107378.32,-10.96
4,15,-107378.32,-10.96
4,16,-107378.32,-10.96
4,17,-500959.78,-52.31
4,18,-500959.78,-52.31
4,19,-500959.78,-52.31
4,20,-168138.88,-17.56
4,21,-168138.88,-17.56
4,22,-168138.88,-17.56
4,23,-168138.88,-17.56
4,24,-168138.88,-17.56
4,25,-168138.88,-17.56
4,26,-168138.88,-17.56
4,27,-168138.88,-17.56
4,28,-168138.88,-17.56
4,29,-168138.88,-17.56
4,30,-168138.88,-17.56
4,31,0,0
4,32,0,0
4,33,0,0
4,34,0,0
4,35,0,0
4,36,0,0
4,37,0,0
4,38,0,0
4,39,0,0
4,40,0,0
4,41,0,0
4,42,0,0
4,43,0,0
4,44,0,0
4,45,0,0
4,46,0,0
4,47,0,0
4,48,0,0
4,49,0,0
4,50,0,0
5,1,-272212.02,-27.29
5,2,-175128.66,-17.98
5,3,-175128.66,-17.98
5,4,-727486.2,-74.7
5,5,0,0
5,6,314738.52,31.24
5,7,-374640.06,-37.18
5,8,44381.7,4.4
5,9,44381.7,4.4
5,10,-405307.58,-40.23
5,11,147049.97,14.59
5,12,-491228.21,-49.72
5,13,-491228.21,-49.72
5,14,-491228.21,-49.72
5,15,-491228.21,-49.72
5,16,-491228.21,-49.72
5,17,-910249.97,-95.23
5,18,-910249.97,-95.23
5,19,-910249.97,-95.23
5,20,-146052,-15.28
5,21,-146052,-15.28
5,22,-146052,-15.28
5,23,-146052,-15.28
5,24,0,0
5,25,0,0
5,26,0,0
5,27,0,0
5,28,0,0
5,29,0,0
5,30,0,0
5,31,0,0
5,32,0,0
